period,definition_a,definition_b,overlap_count
all,hs_restricted_field,hs_o2_field,23
all,hs_restricted_field,hs_restricted_field,24
all,hs_restricted_field,HIGH_C03_S3,3
all,hs_restricted_field,HIGH_C05_S3,3
all,hs_restricted_field,LOW_STRICT,0
all,hs_restricted_field,NOT_HIGH,21
all,HIGH_C03_S3,hs_c03,267
all,HIGH_C03_S3,hs_c05,268
all,HIGH_C03_S3,hs_explicit_wes_wgs,459
all,HIGH_C03_S3,hs_s3_field,2
all,HIGH_C03_S3,hs_o2_field,3
all,HIGH_C03_S3,hs_restricted_field,3
all,HIGH_C03_S3,HIGH_C03_S3,462
all,HIGH_C03_S3,HIGH_C05_S3,462
all,HIGH_C03_S3,LOW_STRICT,0
all,HIGH_C03_S3,NOT_HIGH,0
all,HIGH_C05_S3,hs_c03,267
all,HIGH_C05_S3,hs_c05,269
all,HIGH_C05_S3,hs_explicit_wes_wgs,459
all,HIGH_C05_S3,hs_s3_field,2
all,HIGH_C05_S3,hs_o2_field,3
all,HIGH_C05_S3,hs_restricted_field,3
all,HIGH_C05_S3,HIGH_C03_S3,462
all,HIGH_C05_S3,HIGH_C05_S3,463
all,HIGH_C05_S3,LOW_STRICT,0
all,HIGH_C05_S3,NOT_HIGH,0
all,LOW_STRICT,hs_c03,0
all,LOW_STRICT,hs_c05,0
all,LOW_STRICT,hs_explicit_wes_wgs,0
all,LOW_STRICT,hs_s3_field,0
all,LOW_STRICT,hs_o2_field,0
all,LOW_STRICT,hs_restricted_field,0
all,LOW_STRICT,HIGH_C03_S3,0
all,LOW_STRICT,HIGH_C05_S3,0
all,LOW_STRICT,LOW_STRICT,1147
all,LOW_STRICT,NOT_HIGH,1147
all,NOT_HIGH,hs_c03,0
all,NOT_HIGH,hs_c05,0
all,NOT_HIGH,hs_explicit_wes_wgs,0
all,NOT_HIGH,hs_s3_field,0
all,NOT_HIGH,hs_o2_field,20
all,NOT_HIGH,hs_restricted_field,21
all,NOT_HIGH,HIGH_C03_S3,0
all,NOT_HIGH,HIGH_C05_S3,0
all,NOT_HIGH,LOW_STRICT,1147
all,NOT_HIGH,NOT_HIGH,6472
all,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|0|0|0|0,5305
all,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|0|0|0|1,1147
all,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,1|1|0|0|0,266
all,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|1|0|0|0,192
all,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|0|0|1|0,20
all,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|0|1|1|0,2
all,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,1|0|0|0|0,2
all,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,1|1|0|1|0,1
pre_july_2024,hs_c03,hs_c03,130
pre_july_2024,hs_c03,hs_c05,130
pre_july_2024,hs_c03,hs_explicit_wes_wgs,129
pre_july_2024,hs_c03,hs_s3_field,0
pre_july_2024,hs_c03,hs_o2_field,1
pre_july_2024,hs_c03,hs_restricted_field,1
pre_july_2024,hs_c03,HIGH_C03_S3,130
pre_july_2024,hs_c03,HIGH_C05_S3,130
pre_july_2024,hs_c03,LOW_STRICT,0
pre_july_2024,hs_c03,NOT_HIGH,0
pre_july_2024,hs_c05,hs_c03,130
pre_july_2024,hs_c05,hs_c05,131
pre_july_2024,hs_c05,hs_explicit_wes_wgs,130
pre_july_2024,hs_c05,hs_s3_field,0
pre_july_2024,hs_c05,hs_o2_field,1
pre_july_2024,hs_c05,hs_restricted_field,1
pre_july_2024,hs_c05,HIGH_C03_S3,131
pre_july_2024,hs_c05,HIGH_C05_S3,131
pre_july_2024,hs_c05,LOW_STRICT,0
pre_july_2024,hs_c05,NOT_HIGH,0
pre_july_2024,hs_explicit_wes_wgs,hs_c03,129
pre_july_2024,hs_explicit_wes_wgs,hs_c05,130
pre_july_2024,hs_explicit_wes_wgs,hs_explicit_wes_wgs,314
pre_july_2024,hs_explicit_wes_wgs,hs_s3_field,0
pre_july_2024,hs_explicit_wes_wgs,hs_o2_field,1
pre_july_2024,hs_explicit_wes_wgs,hs_restricted_field,1
pre_july_2024,hs_explicit_wes_wgs,HIGH_C03_S3,314
pre_july_2024,hs_explicit_wes_wgs,HIGH_C05_S3,314
pre_july_2024,hs_explicit_wes_wgs,LOW_STRICT,0
pre_july_2024,hs_explicit_wes_wgs,NOT_HIGH,0
pre_july_2024,hs_s3_field,hs_c03,0
pre_july_2024,hs_s3_field,hs_c05,0
pre_july_2024,hs_s3_field,hs_explicit_wes_wgs,0
pre_july_2024,hs_s3_field,hs_s3_field,2
pre_july_2024,hs_s3_field,hs_o2_field,2
pre_july_2024,hs_s3_field,hs_restricted_field,2
pre_july_2024,hs_s3_field,HIGH_C03_S3,2
pre_july_2024,hs_s3_field,HIGH_C05_S3,2
pre_july_2024,hs_s3_field,LOW_STRICT,0
pre_july_2024,hs_s3_field,NOT_HIGH,0
pre_july_2024,hs_o2_field,hs_c03,1
pre_july_2024,hs_o2_field,hs_c05,1
pre_july_2024,hs_o2_field,hs_explicit_wes_wgs,1
pre_july_2024,hs_o2_field,hs_s3_field,2
pre_july_2024,hs_o2_field,hs_o2_field,23
pre_july_2024,hs_o2_field,hs_restricted_field,23
pre_july_2024,hs_o2_field,HIGH_C03_S3,3
pre_july_2024,hs_o2_field,HIGH_C05_S3,3
pre_july_2024,hs_o2_field,LOW_STRICT,0
pre_july_2024,hs_o2_field,NOT_HIGH,20
pre_july_2024,hs_restricted_field,hs_c03,1
pre_july_2024,hs_restricted_field,hs_c05,1
pre_july_2024,hs_restricted_field,hs_explicit_wes_wgs,1
pre_july_2024,hs_restricted_field,hs_s3_field,2
pre_july_2024,hs_restricted_field,hs_o2_field,23
pre_july_2024,hs_restricted_field,hs_restricted_field,24
pre_july_2024,hs_restricted_field,HIGH_C03_S3,3
pre_july_2024,hs_restricted_field,HIGH_C05_S3,3
pre_july_2024,hs_restricted_field,LOW_STRICT,0
pre_july_2024,hs_restricted_field,NOT_HIGH,21
pre_july_2024,HIGH_C03_S3,hs_c03,130
pre_july_2024,HIGH_C03_S3,hs_c05,131
pre_july_2024,HIGH_C03_S3,hs_explicit_wes_wgs,314
pre_july_2024,HIGH_C03_S3,hs_s3_field,2
pre_july_2024,HIGH_C03_S3,hs_o2_field,3
pre_july_2024,HIGH_C03_S3,hs_restricted_field,3
pre_july_2024,HIGH_C03_S3,HIGH_C03_S3,317
pre_july_2024,HIGH_C03_S3,HIGH_C05_S3,317
pre_july_2024,HIGH_C03_S3,LOW_STRICT,0
pre_july_2024,HIGH_C03_S3,NOT_HIGH,0
pre_july_2024,HIGH_C05_S3,hs_c03,130
pre_july_2024,HIGH_C05_S3,hs_c05,131
pre_july_2024,HIGH_C05_S3,hs_explicit_wes_wgs,314
pre_july_2024,HIGH_C05_S3,hs_s3_field,2
pre_july_2024,HIGH_C05_S3,hs_o2_field,3
pre_july_2024,HIGH_C05_S3,hs_restricted_field,3
pre_july_2024,HIGH_C05_S3,HIGH_C03_S3,317
pre_july_2024,HIGH_C05_S3,HIGH_C05_S3,317
pre_july_2024,HIGH_C05_S3,LOW_STRICT,0
pre_july_2024,HIGH_C05_S3,NOT_HIGH,0
pre_july_2024,LOW_STRICT,hs_c03,0
pre_july_2024,LOW_STRICT,hs_c05,0
pre_july_2024,LOW_STRICT,hs_explicit_wes_wgs,0
pre_july_2024,LOW_STRICT,hs_s3_field,0
pre_july_2024,LOW_STRICT,hs_o2_field,0
pre_july_2024,LOW_STRICT,hs_restricted_field,0
pre_july_2024,LOW_STRICT,HIGH_C03_S3,0
pre_july_2024,LOW_STRICT,HIGH_C05_S3,0
pre_july_2024,LOW_STRICT,LOW_STRICT,806
pre_july_2024,LOW_STRICT,NOT_HIGH,806
pre_july_2024,NOT_HIGH,hs_c03,0
pre_july_2024,NOT_HIGH,hs_c05,0
pre_july_2024,NOT_HIGH,hs_explicit_wes_wgs,0
pre_july_2024,NOT_HIGH,hs_s3_field,0
pre_july_2024,NOT_HIGH,hs_o2_field,20
pre_july_2024,NOT_HIGH,hs_restricted_field,21
pre_july_2024,NOT_HIGH,HIGH_C03_S3,0
pre_july_2024,NOT_HIGH,HIGH_C05_S3,0
pre_july_2024,NOT_HIGH,LOW_STRICT,806
pre_july_2024,NOT_HIGH,NOT_HIGH,4015
pre_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|0|0|0|0,3189
pre_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|0|0|0|1,806
pre_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|1|0|0|0,184
pre_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,1|1|0|0|0,129
pre_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|0|0|1|0,20
pre_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|0|1|1|0,2
pre_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,1|0|0|0|0,1
pre_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,1|1|0|1|0,1
post_july_2024,hs_c03,hs_c03,137
post_july_2024,hs_c03,hs_c05,137
post_july_2024,hs_c03,hs_explicit_wes_wgs,137
post_july_2024,hs_c03,hs_s3_field,0
post_july_2024,hs_c03,hs_o2_field,0
post_july_2024,hs_c03,hs_restricted_field,0
post_july_2024,hs_c03,HIGH_C03_S3,137
post_july_2024,hs_c03,HIGH_C05_S3,137
post_july_2024,hs_c03,LOW_STRICT,0
post_july_2024,hs_c03,NOT_HIGH,0
post_july_2024,hs_c05,hs_c03,137
post_july_2024,hs_c05,hs_c05,138
post_july_2024,hs_c05,hs_explicit_wes_wgs,137
post_july_2024,hs_c05,hs_s3_field,0
post_july_2024,hs_c05,hs_o2_field,0
post_july_2024,hs_c05,hs_restricted_field,0
post_july_2024,hs_c05,HIGH_C03_S3,137
post_july_2024,hs_c05,HIGH_C05_S3,138
post_july_2024,hs_c05,LOW_STRICT,0
post_july_2024,hs_c05,NOT_HIGH,0
post_july_2024,hs_explicit_wes_wgs,hs_c03,137
post_july_2024,hs_explicit_wes_wgs,hs_c05,137
post_july_2024,hs_explicit_wes_wgs,hs_explicit_wes_wgs,145
post_july_2024,hs_explicit_wes_wgs,hs_s3_field,0
post_july_2024,hs_explicit_wes_wgs,hs_o2_field,0
post_july_2024,hs_explicit_wes_wgs,hs_restricted_field,0
post_july_2024,hs_explicit_wes_wgs,HIGH_C03_S3,145
post_july_2024,hs_explicit_wes_wgs,HIGH_C05_S3,145
post_july_2024,hs_explicit_wes_wgs,LOW_STRICT,0
post_july_2024,hs_explicit_wes_wgs,NOT_HIGH,0
post_july_2024,hs_s3_field,hs_c03,0
post_july_2024,hs_s3_field,hs_c05,0
post_july_2024,hs_s3_field,hs_explicit_wes_wgs,0
post_july_2024,hs_s3_field,hs_s3_field,0
post_july_2024,hs_s3_field,hs_o2_field,0
post_july_2024,hs_s3_field,hs_restricted_field,0
post_july_2024,hs_s3_field,HIGH_C03_S3,0
post_july_2024,hs_s3_field,HIGH_C05_S3,0
post_july_2024,hs_s3_field,LOW_STRICT,0
post_july_2024,hs_s3_field,NOT_HIGH,0
post_july_2024,hs_o2_field,hs_c03,0
post_july_2024,hs_o2_field,hs_c05,0
post_july_2024,hs_o2_field,hs_explicit_wes_wgs,0
post_july_2024,hs_o2_field,hs_s3_field,0
post_july_2024,hs_o2_field,hs_o2_field,0
post_july_2024,hs_o2_field,hs_restricted_field,0
post_july_2024,hs_o2_field,HIGH_C03_S3,0
post_july_2024,hs_o2_field,HIGH_C05_S3,0
post_july_2024,hs_o2_field,LOW_STRICT,0
post_july_2024,hs_o2_field,NOT_HIGH,0
post_july_2024,hs_restricted_field,hs_c03,0
post_july_2024,hs_restricted_field,hs_c05,0
post_july_2024,hs_restricted_field,hs_explicit_wes_wgs,0
post_july_2024,hs_restricted_field,hs_s3_field,0
post_july_2024,hs_restricted_field,hs_o2_field,0
post_july_2024,hs_restricted_field,hs_restricted_field,0
post_july_2024,hs_restricted_field,HIGH_C03_S3,0
post_july_2024,hs_restricted_field,HIGH_C05_S3,0
post_july_2024,hs_restricted_field,LOW_STRICT,0
post_july_2024,hs_restricted_field,NOT_HIGH,0
post_july_2024,HIGH_C03_S3,hs_c03,137
post_july_2024,HIGH_C03_S3,hs_c05,137
post_july_2024,HIGH_C03_S3,hs_explicit_wes_wgs,145
post_july_2024,HIGH_C03_S3,hs_s3_field,0
post_july_2024,HIGH_C03_S3,hs_o2_field,0
post_july_2024,HIGH_C03_S3,hs_restricted_field,0
post_july_2024,HIGH_C03_S3,HIGH_C03_S3,145
post_july_2024,HIGH_C03_S3,HIGH_C05_S3,145
post_july_2024,HIGH_C03_S3,LOW_STRICT,0
post_july_2024,HIGH_C03_S3,NOT_HIGH,0
post_july_2024,HIGH_C05_S3,hs_c03,137
post_july_2024,HIGH_C05_S3,hs_c05,138
post_july_2024,HIGH_C05_S3,hs_explicit_wes_wgs,145
post_july_2024,HIGH_C05_S3,hs_s3_field,0
post_july_2024,HIGH_C05_S3,hs_o2_field,0
post_july_2024,HIGH_C05_S3,hs_restricted_field,0
post_july_2024,HIGH_C05_S3,HIGH_C03_S3,145
post_july_2024,HIGH_C05_S3,HIGH_C05_S3,146
post_july_2024,HIGH_C05_S3,LOW_STRICT,0
post_july_2024,HIGH_C05_S3,NOT_HIGH,0
post_july_2024,LOW_STRICT,hs_c03,0
post_july_2024,LOW_STRICT,hs_c05,0
post_july_2024,LOW_STRICT,hs_explicit_wes_wgs,0
post_july_2024,LOW_STRICT,hs_s3_field,0
post_july_2024,LOW_STRICT,hs_o2_field,0
post_july_2024,LOW_STRICT,hs_restricted_field,0
post_july_2024,LOW_STRICT,HIGH_C03_S3,0
post_july_2024,LOW_STRICT,HIGH_C05_S3,0
post_july_2024,LOW_STRICT,LOW_STRICT,341
post_july_2024,LOW_STRICT,NOT_HIGH,341
post_july_2024,NOT_HIGH,hs_c03,0
post_july_2024,NOT_HIGH,hs_c05,0
post_july_2024,NOT_HIGH,hs_explicit_wes_wgs,0
post_july_2024,NOT_HIGH,hs_s3_field,0
post_july_2024,NOT_HIGH,hs_o2_field,0
post_july_2024,NOT_HIGH,hs_restricted_field,0
post_july_2024,NOT_HIGH,HIGH_C03_S3,0
post_july_2024,NOT_HIGH,HIGH_C05_S3,0
post_july_2024,NOT_HIGH,LOW_STRICT,341
post_july_2024,NOT_HIGH,NOT_HIGH,2457
post_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|0|0|0|0,2116
post_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|0|0|0|1,341
post_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,1|1|0|0|0,137
post_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,0|1|0|0|0,8
post_july_2024,profile:hs_c05|hs_explicit_wes_wgs|hs_s3_field|hs_o2_field|LOW_STRICT,1|0|0|0|0,1
