app_id,pub_id,publication_date,publication_year,project_start_date,months_since_project_start,publication_before_or_after_policy,title,doi,pubmed_id,journal
236,11398,2023-05-01,2023,2015-07-01,94,before_policy,An Evolutionarily Conserved Olfactory Receptor Is Required for Sex Differences in Blood Pressure,10.1152/physiol.2023.38.s1.5729602,0,Physiology
236,12574,2022-02-01,2022,2015-07-01,79,before_policy,Exploring the causal effect of maternal pregnancy adiposity on offspring adiposity: Mendelian randomisation using polygenic risk scores,10.1186/s12916-021-02216-w,35101027,BMC Medicine
236,12848,2024-07-09,2024,2015-07-01,108,after_policy,Body Mass Index and Hypertension as Mediators of the Association Between Age at Menarche and Subclinical Atherosclerosis: A Sex-Specific Mendelian Randomization Analysis,10.1161/jaha.123.032192,38979809,Journal of the American Heart Association
236,13774,2019-06-25,2019,2015-07-01,47,before_policy,Use of Genetic Variants Related to Antihypertensive Drugs to Inform on Efficacy and Side Effects,10.1161/circulationaha.118.038814,31234639,Circulation
236,18335,2026-02-09,2026,2015-07-01,127,after_policy,Partitioned polygenic scores show mechanistic heterogeneity in type 2 diabetes and hypertension comorbidity,10.1038/s41467-025-67449-2,41663376,Nature Communications
262,3988,2017-05-22,2017,2013-12-01,41,before_policy,Adiposity and grip strength as long-term predictors of objectively measured physical activity in 93 015 adults: the UK Biobank study,10.1038/ijo.2017.122,28529332,International Journal of Obesity
262,8469,2017-06-01,2017,2013-12-01,42,before_policy,Mortality Risk Reductions from Substituting Screen Time by Discretionary Activities,10.1249/mss.0000000000001206,28106621,Medicine & Science in Sports & Exercise
262,8879,2019-05-07,2019,2013-12-01,65,before_policy,"Specific physical activities, sedentary behaviours and sleep as long-term predictors of accelerometer-measured physical activity in 91,648 adults: a prospective cohort study",10.1186/s12966-019-0802-9,31064403,International Journal of Behavioral Nutrition and Physical Activity
270,404,2014-04-20,2014,2012-06-01,22,before_policy,New Reference Values for Body Composition by Bioelectrical Impedance Analysis in the General Population: Results From the UK Biobank,10.1016/j.jamda.2014.03.012,24755478,Journal of the American Medical Directors Association
289,7556,2013-08-16,2013,2012-07-01,13,before_policy,New Normative Values for Handgrip Strength: Results From the UK Biobank,10.1016/j.jamda.2013.06.013,23958225,Journal of the American Medical Directors Association
338,165,2015-05-22,2015,2013-04-15,25,before_policy,Suitability of UK Biobank Retinal Images for Automatic Analysis of Morphometric Properties of the Vasculature,10.1371/journal.pone.0127914,26000792,PLOS ONE
408,4417,2021-07-28,2021,2013-12-01,91,before_policy,Cardiorespiratory fitness assessment using risk-stratified exercise testing and dose-response relationships with disease outcomes,10.1038/s41598-021-94768-3,34321526,Scientific Reports
408,7734,2023-07-03,2023,2013-12-01,115,before_policy,Causal associations between cardiorespiratory fitness and type 2 diabetes,10.1038/s41467-023-38234-w,37400433,Nature Communications
408,8461,2017-03-01,2017,2013-12-01,39,before_policy,"Independent and joint associations of grip strength and adiposity with all-cause and cardiovascular disease mortality in 403,199 adults: the UK Biobank study",10.3945/ajcn.117.156851,28793990,American Journal of Clinical Nutrition
408,8515,2018-03-28,2018,2013-12-01,51,before_policy,"The combination of cardiorespiratory fitness and muscle strength, and mortality risk",10.1007/s10654-018-0384-x,29594847,European Journal of Epidemiology
408,9211,2023-12-06,2023,2013-12-01,120,before_policy,Observational and genetic associations between cardiorespiratory fitness and cancer: a UK Biobank and international consortia study,10.1038/s41416-023-02489-3,38057395,British Journal of Cancer
412,1903,2016-09-22,2016,2012-10-01,47,before_policy,Lower lung function associates with cessation of menstruation: UK Biobank data,10.1183/13993003.00412-2016,27660514,European Respiratory Journal
412,7537,2017-07-12,2017,2012-10-01,57,before_policy,Ventilatory function as a predictor of mortality in lifelong non-smokers: evidence from large British cohort studies,10.1136/bmjopen-2016-015381,28706094,BMJ Open
412,8454,2017-01-11,2017,2012-10-01,51,before_policy,Female Smokers Are at Greater Risk of Airflow Obstruction Than Male Smokers. UK Biobank,10.1164/rccm.201608-1545oc,28075609,American Journal of Respiratory and Critical Care Medicine
431,4366,2021-10-29,2021,2013-06-30,99,before_policy,Blood biomarker levels by total sleep duration: cross-sectional analyses in UK Biobank,10.1016/j.sleep.2021.10.018,34798442,Sleep Medicine
431,7670,2016-10-06,2016,2013-06-30,39,before_policy,Night Shift Work and Breast Cancer Incidence: Three Prospective Studies and Meta-analysis of Published Studies,10.1093/jnci/djw169,27758828,Journal of the National Cancer Institute
522,4324,2017-09-08,2017,2013-07-01,50,before_policy,Automated arteriole and venule classification using deep learning for retinal images from the UK Biobank cohort,10.1016/j.compbiomed.2017.09.005,28917120,Computers in Biology and Medicine
522,4333,2016-02-06,2016,2013-07-01,31,before_policy,Automated retinal image quality assessment on the UK Biobank dataset for epidemiological studies,10.1016/j.compbiomed.2016.01.027,26894596,Computers in Biology and Medicine
522,5677,2020-07-29,2020,2013-07-01,84,before_policy,Retinal Vascular Tortuosity and Diameter Associations with Adiposity and Components of Body Composition,10.1002/oby.22885,32725961,Obesity
522,9046,2019-10-30,2019,2013-07-01,75,before_policy,Associations of Retinal Microvascular Diameters and Tortuosity With Blood Pressure and Arterial Stiffness,10.1161/hypertensionaha.119.13752,31661987,Hypertension
522,10363,2022-07-19,2022,2013-07-01,108,before_policy,Retinal microvascular associations with cardiometabolic risk factors differ by diabetes status: results from the UK Biobank,10.1007/s00125-022-05745-y,35852586,Diabetologia
648,740,2017-02-06,2017,2012-11-01,51,before_policy,Genome-wide association analyses for lung function and chronic obstructive pulmonary disease identify new loci and potential druggable targets,10.1038/ng.3787,28166213,Nature Genetics
648,1944,2019-02-25,2019,2012-11-01,75,before_policy,New genetic signals for lung function highlight pathways and chronic obstructive pulmonary disease associations across multiple ancestries,10.1038/s41588-018-0321-7,30804560,Nature Genetics
648,2748,2019-02-25,2019,2012-11-01,75,before_policy,Genetic landscape of chronic obstructive pulmonary disease identifies heterogeneous cell-type and phenotype associations,10.1038/s41588-018-0342-2,30804561,Nature Genetics
648,3847,2021-03-18,2021,2012-11-01,100,before_policy,Pleiotropic associations of heterozygosity for the SERPINA1 Z allele in the UK Biobank,10.1183/23120541.00049-2021,33981765,ERJ Open Research
648,4005,2017-06-17,2017,2012-11-01,55,before_policy,Age at menarche and lung function: a Mendelian randomization study,10.1007/s10654-017-0272-9,28624884,European Journal of Epidemiology
648,5982,2021-05-24,2021,2012-11-01,102,before_policy,Variants associated with HHIP expression have sex-differential effects on lung function,10.12688/wellcomeopenres.15846.2,33728380,Wellcome Open Research
648,6007,2020-10-14,2020,2012-11-01,95,before_policy,"Whole genome sequence analysis of pulmonary function and COPD in 19,996 multi-ethnic participants",10.1038/s41467-020-18334-7,33057025,Nature Communications
648,7550,2016-06-06,2016,2012-11-01,43,before_policy,Haplotype estimation for biobank-scale data sets,10.1038/ng.3583,27270105,Nature Genetics
648,7669,2017-01-23,2017,2012-11-01,50,before_policy,Targeted Sequencing of Lung Function Loci in Chronic Obstructive Pulmonary Disease Cases and Controls,10.1371/journal.pone.0170222,28114305,PLOS ONE
648,8280,2023-11-21,2023,2012-11-01,132,before_policy,Genome-wide association study of susceptibility to hospitalised respiratory infections,10.12688/wellcomeopenres.17230.2,39220670,Wellcome Open Research
648,8414,2015-09-27,2015,2012-11-01,34,before_policy,"Novel insights into the genetics of smoking behaviour, lung function, and chronic obstructive pulmonary disease (UK BiLEVE): a genetic association study in UK Biobank",10.1016/s2213-2600(15)00283-0,26423011,The Lancet Respiratory Medicine
648,8420,2016-02-25,2016,2012-11-01,39,before_policy,"Exome-wide analysis of rare coding variation identifies novel associations with COPD and airflow limitation in MOCS3, IFIT3 and SERPINA12",10.1136/thoraxjnl-2015-207876,26917578,Thorax
648,8556,2018-08-09,2018,2012-11-01,69,before_policy,The vitamin D binding protein axis modifies disease severity in lymphangioleiomyomatosis,10.1183/13993003.00951-2018,30093573,European Respiratory Journal
648,8709,2024-02-20,2024,2012-11-01,135,before_policy,"Air pollution, lung function and mortality: survival and mediation analyses in UK Biobank",10.1183/23120541.00093-2024,38686181,ERJ Open Research
648,9118,2020-06-01,2020,2012-11-01,91,before_policy,Variants associated with HHIP expression have sex-differential effects on lung function,10.12688/wellcomeopenres.15846.1,0,Wellcome Open Research
648,9163,2023-12-15,2023,2012-11-01,133,before_policy,Asthma exacerbations and eosinophilia in the UK Biobank: a genome-wide association study,10.1183/23120541.00566-2023,38196893,ERJ Open Research
648,10426,2021-10-27,2021,2012-11-01,107,before_policy,Genome-wide association study of susceptibility to hospitalised respiratory infections,10.12688/wellcomeopenres.17230.1,0,Wellcome Open Research
648,11197,2023-03-13,2023,2012-11-01,124,before_policy,Multi-ancestry genome-wide association analyses improve resolution of genes and pathways influencing lung function and chronic obstructive pulmonary disease risk,10.1038/s41588-023-01314-0,36914875,Nature Genetics
648,12271,2022-08-16,2022,2012-11-01,117,before_policy,Longitudinal lung function and gas transfer in individuals with idiopathic pulmonary fibrosis: a genome-wide association study,10.1016/s2213-2600(22)00251-x,35985358,The Lancet Respiratory Medicine
648,13833,2021-12-17,2021,2012-11-01,109,before_policy,"Genome-wide gene-air pollution interaction analysis of lung function in 300,000 individuals",10.1016/j.envint.2021.107041,34923368,Environment International
648,13856,2022-01-31,2022,2012-11-01,110,before_policy,Genetic Associations and Architecture of Asthma-COPD Overlap,10.1016/j.chest.2021.12.674,35104449,CHEST Journal
648,15251,2025-05-22,2025,2012-11-01,150,after_policy,"The role of the ADRB2 Thr164Ile variant in lung function determination, plasma proteome variability and other phenotypes in UK Biobank",10.1183/23120541.00330-2025,0,ERJ Open Research
648,18336,2026-02-09,2026,2012-11-01,159,after_policy,Genetic risk score informed re-evaluation of phenotype quality control to maximize power in epidemiological studies: application to lung function,10.23889/ijpds.v11i1.2997,41684607,International Journal for Population Data Science
648,18741,2026-01-01,2026,2012-11-01,158,after_policy,Multi-ancestry genome-wide association study and meta-analysis of lung function decline,10.1186/s12931-026-03565-x,41764487,Respiratory Research
648,19365,2025-09-30,2025,2012-11-01,154,after_policy,Genome-wide association study of susceptibility to acute respiratory distress syndrome,10.1016/j.ebiom.2025.105951,41033104,EBioMedicine
669,2608,2016-07-28,2016,2013-01-01,42,before_policy,"Visual Function, Social Position, and Health and Life Chances: The UK Biobank Study",10.1001/jamaophthalmol.2016.1778,27466983,JAMA Ophthalmology
669,2656,2015-10-02,2015,2013-01-01,33,before_policy,Frequency and Distribution of Refractive Error in Adult Life: Methodology and Findings of the UK Biobank Study,10.1371/journal.pone.0139780,26430771,PLOS ONE
669,2657,2016-07-01,2016,2013-01-01,42,before_policy,Accuracy and Utility of Self-report of Refractive Error,10.1001/jamaophthalmol.2016.1275,27197004,JAMA Ophthalmology
669,2683,2015-11-01,2015,2013-01-01,34,before_policy,"Laser refractive surgery in the UK Biobank study Frequency, distribution by sociodemographic factors, and general health, happiness, and social participation outcomes",10.1016/j.jcrs.2015.05.040,26703498,Journal of Cataract & Refractive Surgery
669,5203,2021-08-07,2021,2013-01-01,103,before_policy,"Impact of Persisting Amblyopia on Socioeconomic, Health, and Well-Being Outcomes in Adult Life: Findings From the UK Biobank",10.1016/j.jval.2021.05.010,34711360,Value in Health
669,8628,2024-03-07,2024,2013-01-01,134,before_policy,Associations between unilateral amblyopia in childhood and cardiometabolic disorders in adult life: a cross-sectional and longitudinal analysis of the UK Biobank,10.1016/j.eclinm.2024.102493,38685932,EClinicalMedicine
669,12600,2022-01-19,2022,2013-01-01,108,before_policy,"Temporal trends in frequency, type and severity of myopia and associations with key environmental risk factors in the UK: Findings from the UK Biobank Study",10.1371/journal.pone.0260993,35045072,PLOS ONE
669,13685,2020-03-30,2020,2013-01-01,86,before_policy,"Meta-analysis of 542,934 subjects of European ancestry identifies new genes and mechanisms predisposing to refractive error and myopia",10.1038/s41588-020-0599-0,32231278,Nature Genetics
761,409,2013-12-01,2013,2012-09-19,14,before_policy,Parental diabetes and birthweight in 236 030 individuals in the UK Biobank Study,10.1093/ije/dyt220,24336895,International Journal of Epidemiology
774,464,2013-12-13,2013,2012-11-05,13,before_policy,"Heaviness, health and happiness: a cross-sectional study of 163066 UK Biobank participants",10.1136/jech-2013-203077,24336235,Journal of Epidemiology & Community Health
774,465,2014-05-26,2014,2012-11-05,18,before_policy,"Gender differences in the association between adiposity and probable major depression: a cross-sectional study of 140,564 UK Biobank participants",10.1186/1471-244x-14-153,24884621,BMC Psychiatry
774,502,2015-10-21,2015,2012-11-05,35,before_policy,"Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants",10.1016/j.eurpsy.2015.08.006,26647871,European Psychiatry
774,505,2016-01-01,2016,2012-11-05,37,before_policy,Low birth weight and features of neuroticism and mood disorder in 83 545 participants of the UK Biobank cohort,10.1192/bjpo.bp.115.002154,27703752,BJPsych Open
774,509,2013-11-25,2013,2012-11-05,12,before_policy,"Prevalence and Characteristics of Probable Major Depression and Bipolar Disorder within UK Biobank: Cross-Sectional Study of 172,751 Participants",10.1371/journal.pone.0075362,24282498,PLOS ONE
774,510,2016-11-15,2016,2012-11-05,48,before_policy,Associations between single and multiple cardiometabolic diseases and cognitive abilities in 474 129 UK Biobank participants,10.1093/eurheartj/ehw528,28363219,European Heart Journal
774,512,2016-07-12,2016,2012-11-05,44,before_policy,Adiposity among 132 479 UK Biobank participants; contribution of sugar intake vs other macronutrients,10.1093/ije/dyw173,27407038,International Journal of Epidemiology
774,514,2016-04-25,2016,2012-11-05,41,before_policy,"Cognitive Test Scores in UK Biobank: Data Reduction in 480,416 Participants and Longitudinal Stability in 20,346 Participants",10.1371/journal.pone.0154222,27110937,PLOS ONE
774,4413,2016-04-01,2016,2012-11-05,40,before_policy,"Cardiometabolic disease and features of depression and bipolar disorder: Population-based, cross-sectional study",10.1192/bjp.bp.114.157784,26795427,The British Journal of Psychiatry
774,7553,2014-08-07,2014,2012-11-05,21,before_policy,"Ethnic-Specific Obesity Cutoffs for Diabetes Risk: Cross-sectional Study of 490,288 UK Biobank Participants",10.2337/dc13-2966,24974975,Diabetes Care
788,2246,2016-12-15,2016,2013-02-01,46,before_policy,Improved Genetic Profiling of Anthropometric Traits Using a Big Data Approach,10.1371/journal.pone.0166755,27977676,PLOS ONE
788,2423,2018-10-22,2018,2013-02-01,68,before_policy,An atlas of genetic associations in UK Biobank,10.1038/s41588-018-0248-z,30349118,Nature Genetics
788,3617,2020-12-14,2020,2013-02-01,94,before_policy,Evidence of horizontal indirect genetic effects in humans,10.1038/s41562-020-00991-9,33318663,Nature Human Behaviour
788,5326,2020-07-06,2020,2013-02-01,89,before_policy,Linking protein to phenotype with Mendelian Randomization detects 38 proteins with causal roles in human diseases and traits,10.1371/journal.pgen.1008785,32628676,PLOS Genetics
788,5718,2021-09-07,2021,2013-02-01,103,before_policy,Sex differences in genetic architecture in the UK Biobank,10.1038/s41588-021-00912-0,34493869,Nature Genetics
788,7430,2022-01-13,2022,2013-02-01,107,before_policy,Multi-ancestry fine mapping implicates OAS1 splicing in risk of severe COVID-19,10.1038/s41588-021-00996-8,35027740,Nature Genetics
788,7666,2018-09-03,2018,2013-02-01,67,before_policy,Genome-wide association analyses identify 39 new susceptibility loci for diverticular disease,10.1038/s41588-018-0203-z,30177863,Nature Genetics
788,8428,2016-07-18,2016,2013-02-01,41,before_policy,Evaluating the contribution of genetics and familial shared environment to common disease using the UK Biobank,10.1038/ng.3618,27428752,Nature Genetics
788,8429,2016-07-29,2016,2013-02-01,41,before_policy,Evidence for sex-specific genetic architectures across a spectrum of human complex traits,10.1186/s13059-016-1025-x,27473438,Genome Biology
788,9316,2020-12-11,2020,2013-02-01,94,before_policy,Genetic mechanisms of critical illness in COVID-19,10.1038/s41586-020-03065-y,33307546,Nature
788,11267,2023-03-30,2023,2013-02-01,121,before_policy,Adeno-associated virus 2 infection in children with non-A-E hepatitis,10.1038/s41586-023-05948-2,36996873,Nature
788,11447,2023-05-15,2023,2013-02-01,123,before_policy,Fine-mapping of retinal vascular complexity loci identifies Notch regulation as a shared mechanism with myocardial infarction outcomes,10.1038/s42003-023-04836-9,37188768,Communications Biology
788,11454,2023-05-17,2023,2013-02-01,123,before_policy,GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19,10.1038/s41586-023-06034-3,37198478,Nature
788,12613,2022-01-10,2022,2013-02-01,107,before_policy,A common TMPRSS2 variant has a protective effect against severe COVID-19,10.1016/j.retram.2022.103333,35104687,Current Research in Translational Medicine
788,15601,2025-03-13,2025,2013-02-01,145,after_policy,Divide and conquer approach for genome-wide association studies,10.1093/genetics/iyaf019,40080676,Genetics
788,16647,2025-10-24,2025,2013-02-01,152,after_policy,"Mendelian randomization study implicates inflammaging biomarkers in retinal vasculature, cardiovascular diseases, and longevity",10.1126/sciadv.adu1985,41134885,Science Advances
788,18824,2025-11-24,2025,2013-02-01,153,after_policy,Dissecting the genetic and proteomic risk factors for delirium,10.1038/s43587-025-01018-6,41286463,Nature Aging
871,1456,2016-01-04,2016,2015-05-31,7,before_policy,"Genetic evidence that lower circulating FSH levels lengthen menstrual cycle, increase age at menopause and impact female reproductive health",10.1093/humrep/dev318,26732621,Human Reproduction
871,1457,2016-04-20,2016,2015-05-31,10,before_policy,Events in Early Life are Associated with Female Reproductive Ageing: A UK Biobank Study,10.1038/srep24710,27094806,Scientific Reports
871,4104,2019-01-18,2019,2015-05-31,43,before_policy,"Assessing the Pathogenicity, Penetrance, and Expressivity of Putative Disease-Causing Variants in a Population Setting",10.1016/j.ajhg.2018.12.015,30665703,American Journal of Human Genetics
871,4923,2021-08-04,2021,2015-05-31,74,before_policy,Genetic insights into biological mechanisms governing human ovarian ageing,10.1038/s41586-021-03779-7,34349265,Nature
871,8563,2018-09-05,2018,2015-05-31,39,before_policy,Mosaic Turner syndrome shows reduced penetrance in an adult population study,10.1038/s41436-018-0271-6,30181606,Genetics in Medicine
871,9433,2023-10-02,2023,2015-05-31,100,before_policy,Insights into the genetics of menopausal vasomotor symptoms: genome-wide analyses of routinely-collected primary care health records,10.1186/s12920-023-01658-w,37784116,BMC Medical Genomics
871,11585,2023-06-22,2023,2015-05-31,96,before_policy,Penetrance of pathogenic genetic variants associated with premature ovarian insufficiency,10.1038/s41591-023-02405-5,37349538,Nature Medicine
885,2620,2019-05-10,2019,2014-11-01,54,before_policy,Fluid Intake and Dietary Factors and the Risk of Incident Kidney Stones in UK Biobank: A Population-based Prospective Cohort Study,10.1016/j.euf.2019.05.002,31085062,European Urology Focus
885,9431,2023-10-03,2023,2014-11-01,107,before_policy,Central Adiposity Increases Risk of Kidney Stone Disease through Effects on Serum Calcium Concentrations,10.1681/asn.0000000000000238,37787550,Journal of the American Society of Nephrology
1100,1459,2017-06-29,2017,2014-07-01,35,before_policy,"Vitreoretinal interface abnormalities in middle-aged adults with visual impairment in the UK Biobank study: prevalence, impact on visual acuity and associations",10.1136/bmjophth-2016-000057,29354705,BMJ Open Ophthalmology
1100,1462,2018-01-31,2018,2014-07-01,42,before_policy,"Monocular and binocular visual impairment in the UK Biobank study: prevalence, associations and diagnoses",10.1136/bmjophth-2017-000076,29657974,BMJ Open Ophthalmology
1100,4698,2017-06-29,2017,2014-07-01,35,before_policy,Discovering dynamic brain networks from big data in rest and task,10.1016/j.neuroimage.2017.06.077,28669905,NeuroImage
1144,422,2015-12-17,2015,2012-11-05,37,before_policy,Chronic widespread bodily pain is increased among individuals with history of fracture: findings from UK Biobank,10.1007/s11657-015-0252-1,26678491,Archives of Osteoporosis
1144,1542,2014-10-01,2014,2012-11-05,22,before_policy,Self-Reported Facial Pain in UK Biobank Study: Prevalence and Associated Factors,10.5037/jomr.2014.5302,25386229,Journal of Oral and Maxillofacial Research
1144,2765,2016-07-19,2016,2012-11-05,44,before_policy,Is alcohol consumption related to likelihood of reporting chronic widespread pain in people with stable consumption? Results from UK biobank,10.1097/j.pain.0000000000000675,27437785,Pain
1144,2767,2017-07-21,2017,2012-11-05,56,before_policy,Persons with chronic widespread pain experience excess mortality: longitudinal results from UK Biobank and meta-analysis,10.1136/annrheumdis-2017-211476,28733474,Annals of the Rheumatic Diseases
1144,3418,2020-04-18,2020,2012-11-05,89,before_policy,The epidemiology of regular opioid use and its association with mortality: Prospective cohort study of 466 486 UK biobank participants,10.1016/j.eclinm.2020.100321,32322808,EClinicalMedicine
1144,4407,2015-01-28,2015,2012-11-05,26,before_policy,Can large surveys conducted on highly selected populations provide valid information on the epidemiology of common health conditions? An analysis of UK Biobank data on musculoskeletal pain,10.1177/2049463715569806,26526341,British Journal of Pain
1144,7524,2018-10-26,2018,2012-11-05,71,before_policy,What is the effect of alcohol consumption on the risk of chronic widespread pain? A Mendelian randomisation study using UK Biobank,10.1097/j.pain.0000000000001426,30371560,Pain
1144,14276,2024-11-15,2024,2012-11-05,144,after_policy,"Childhood maltreatment and chronic ""all over"" body pain in adulthood: a counterfactual analysis using UK Biobank",10.1097/j.pain.0000000000003457,39499541,Pain
1144,19642,2025-08-28,2025,2012-11-05,153,after_policy,Optimising fibromyalgia criteria: evidence from the UK Biobank,10.1016/j.semarthrit.2025.152824,40911946,Seminars in Arthritis and Rheumatism
1159,1663,2014-03-01,2014,2013-01-01,14,before_policy,Cognitive Functioning in Obstructive Lung Disease: Results from the United Kingdom Biobank,10.1016/j.jamda.2013.12.007,24513227,Journal of the American Medical Directors Association
1251,3990,2018-07-03,2018,2015-07-01,36,before_policy,"Adiposity-Mortality Relationships in Type 2 Diabetes, Coronary Heart Disease and Cancer Subgroups in the UK Biobank, and Their Modification by Smoking",10.2337/dc17-2508,29970414,Diabetes Care
1251,4289,2018-06-29,2018,2015-07-01,35,before_policy,"Associations of Dietary Protein Intake With Fat-Free Mass and Grip Strength: A Cross-Sectional Study in 146,816 UK Biobank Participants",10.1093/aje/kwy134,29961893,American Journal of Epidemiology
1251,4790,2021-02-14,2021,2015-07-01,67,before_policy,"Estimating the causal effect of BMI on mortality risk in people with heart disease, diabetes and cancer using Mendelian randomization",10.1016/j.ijcard.2021.02.027,33592239,International Journal of Cardiology
1251,5890,2020-07-21,2020,2015-07-01,60,before_policy,The role of polygenic susceptibility to obesity among carriers of pathogenic mutations in MC4R in the UK Biobank population,10.1371/journal.pmed.1003196,32692746,PLOS Medicine
