month,month_start,pre_transition_start_contribution,post_transition_start_contribution,total_fractional_contribution,aggregate_fractional_publication_count,unique_publication_ids,post_transition_start_share_percent,calendar_post_july_2024,reconciliation_error,interpretation
2023-04,2023-04-01,122.000000,0.000000,122.000000,122.000000,122.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2023-05,2023-05-01,128.000000,0.000000,128.000000,128.000000,128.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2023-06,2023-06-01,146.000000,0.000000,146.000000,146.000000,146.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2023-07,2023-07-01,131.000000,0.000000,131.000000,131.000000,131.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2023-08,2023-08-01,133.000000,0.000000,133.000000,133.000000,133.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2023-09,2023-09-01,137.000000,0.000000,137.000000,137.000000,137.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2023-10,2023-10-01,118.000000,0.000000,118.000000,118.000000,118.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2023-11,2023-11-01,155.000000,0.000000,155.000000,155.000000,155.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2023-12,2023-12-01,122.000000,0.000000,122.000000,122.000000,122.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2024-01,2024-01-01,165.000000,0.000000,165.000000,165.000000,165.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2024-02,2024-02-01,125.000000,0.000000,125.000000,125.000000,125.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2024-03,2024-03-01,157.000000,0.000000,157.000000,157.000000,157.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2024-04,2024-04-01,177.000000,0.000000,177.000000,177.000000,177.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2024-05,2024-05-01,177.000000,0.000000,177.000000,177.000000,177.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2024-06,2024-06-01,152.000000,0.000000,152.000000,152.000000,152.000000,0.000,0,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2024-07,2024-07-01,187.000000,0.000000,187.000000,187.000000,187.000000,0.000,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2024-08,2024-08-01,180.000000,0.000000,180.000000,180.000000,180.000000,0.000,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2024-09,2024-09-01,144.000000,0.000000,144.000000,144.000000,144.000000,0.000,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2024-10,2024-10-01,169.000000,0.000000,169.000000,169.000000,169.000000,0.000,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2024-11,2024-11-01,164.000000,0.000000,164.000000,164.000000,164.000000,0.000,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2024-12,2024-12-01,151.000000,0.000000,151.000000,151.000000,151.000000,0.000,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2025-01,2025-01-01,226.000000,3.000000,229.000000,229.000000,229.000000,1.310,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2025-02,2025-02-01,173.000000,1.000000,174.000000,174.000000,174.000000,0.575,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2025-03,2025-03-01,202.500000,6.500000,209.000000,209.000000,209.000000,3.110,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2025-04,2025-04-01,206.000000,3.000000,209.000000,209.000000,209.000000,1.435,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2025-05,2025-05-01,208.500000,8.500000,217.000000,217.000000,217.000000,3.917,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2025-06,2025-06-01,187.000000,6.000000,193.000000,193.000000,193.000000,3.109,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2025-07,2025-07-01,268.000000,13.000000,281.000000,281.000000,281.000000,4.626,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2025-08,2025-08-01,249.500000,11.500000,261.000000,261.000000,261.000000,4.406,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2025-09,2025-09-01,206.800000,6.200000,213.000000,213.000000,213.000000,2.911,1,-0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2025-10,2025-10-01,245.000000,27.000000,272.000000,272.000000,272.000000,9.926,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2025-11,2025-11-01,199.000000,28.000000,227.000000,227.000000,227.000000,12.335,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
2025-12,2025-12-01,242.500000,22.500000,265.000000,265.000000,265.000000,8.491,1,0.00000000,descriptive decomposition of monthly unique output using project-level fractional attribution
