page,index_on_page,start_date_text,start_date_datetime,title,url,institution,excerpt,counts_text
2,3,15 April 2026,2026-04-15 01:00:00,Memory-Efficient Genomic Selection Using Multi-Indicator Feature Selection and Stacking Machine Learning for Complex Trait Prediction,https://www.ukbiobank.ac.uk/projects/memory-efficient-genomic-selection-using-multi-indicator-feature-selection-and-stacking-machine-learning-for-complex-trait-prediction/,"China Agricultural University, China",Research Questions: Can a streaming-based feature selection method using multiple statistical indicators effectively identify informative SNPs while dramatically reducing memory requirements for large-scale genomic…,11 to 20 of 6936 results found
2,4,15 April 2026,2026-04-15 01:00:00,Molecular and genetic analysis of unilateral renal diseases,https://www.ukbiobank.ac.uk/projects/molecular-and-genetic-analysis-of-unilateral-renal-diseases/,"Iowa State University, United States of America","Unilateral renal diseases encompass structural anomalies such as unilateral renal agenesis (complete absence of one kidney), unilateral renal hypoplasia (underdeveloped kidney), and related conditions like…",11 to 20 of 6936 results found
2,5,13 April 2026,2026-04-13 01:00:00,"An Integrated Study of the Etiology, Risk Prediction, and Molecular Mechanisms of Orthopedic Diseases and Sports Injuries Using Epidemiological, Multi-omics, and Sports Medicine Approaches",https://www.ukbiobank.ac.uk/projects/an-integrated-study-of-the-etiology-risk-prediction-and-molecular-mechanisms-of-orthopedic-diseases-and-sports-injuries-using-epidemiological-multi-omics-and-sports-medicine-approaches/,"Xiamen University, China","Scientific Rationale: Orthopedic diseases and sports injuries (e.g., osteoarthritis, osteoporosis, ligament/tendon injuries) are major causes of global disability. Their etiology is a complex interplay of…",11 to 20 of 6936 results found
2,6,13 April 2026,2026-04-13 01:00:00,"AI-Based Prediction, Subtype Analysis, and Biomarker Discovery for Personalized Medicine in Emotional Disorders Using Multi-Omics, Clinical, and Imaging Data",https://www.ukbiobank.ac.uk/projects/ai-based-prediction-subtype-analysis-and-biomarker-discovery-for-personalized-medicine-in-emotional-disorders-using-multi-omics-clinical-and-imaging-data/,"Korea University College of Medicine, Korea (South)","Research objectives: This research aims to develop explainable and personalized AI models to predict treatment response, progression, and suicidal behavior in emotional disorders such as…",11 to 20 of 6936 results found
2,7,13 April 2026,2026-04-13 01:00:00,Genetic predisposition to mesothelioma: discovery of cancer susceptibility genes in asbestos-exposed and familial mesothelioma cohorts.,https://www.ukbiobank.ac.uk/projects/genetic-predisposition-to-mesothelioma-discovery-of-cancer-susceptibility-genes-in-asbestos-exposed-and-familial-mesothelioma-cohorts/,"University of Hawaii, United States of America","Mesothelioma is a rare, aggressive cancer strongly linked to asbestos exposure. In Cappadocia villages, an unusually high incidence has been reported due to environmental asbestos…",11 to 20 of 6936 results found
2,8,12 April 2026,2026-04-12 01:00:00,"Associations of Physical Activity Types, Intensity, and Frequency with Mortality and Disease Incidence: Evidence from UK Biobank",https://www.ukbiobank.ac.uk/projects/associations-of-physical-activity-types-intensity-and-frequency-with-mortality-and-disease-incidence-evidence-from-uk-biobank/,"South China Normal University, China","Research Questions: 1. Does the “weekend warrior” pattern of physical activity differ from regular exercise in promoting health outcomes, and do associations vary when…",11 to 20 of 6936 results found
2,9,12 April 2026,2026-04-12 01:00:00,Identification of Genetic Modifiers and Novel Therapeutic Targets for GBA1-associated Neuronopathic Gaucher Disease,https://www.ukbiobank.ac.uk/projects/identification-of-genetic-modifiers-and-novel-therapeutic-targets-for-gba1-associated-neuronopathic-gaucher-disease/,"Indian Institute of Technology (BHU) Varanasi, India",Neuronopathic Gaucher disease is a rare and severe neurodegenerative lysosomal disorder caused by pathogenic variants in the GBA1 gene. Although GBA1 deficiency is necessary for…,11 to 20 of 6936 results found
2,10,12 April 2026,2026-04-12 01:00:00,Workplace Stress and Health During the Menopausal Transition: Evidence from a Longitudinal Study of Employed Women,https://www.ukbiobank.ac.uk/projects/workplace-stress-and-health-during-the-menopausal-transition-evidence-from-a-longitudinal-study-of-employed-women/,"EBS Universität für Wirtschaft und Recht gGmbH, Germany","The menopausal transition is a common midlife health event linked to vasomotor symptoms, sleep disruption, mood changes, and cardiometabolic risk. Workplace stress and job strain…",11 to 20 of 6936 results found
3,1,12 April 2026,2026-04-12 01:00:00,Assessing the impact of cardiometabolic risk factors on prognosis in Metabolic Dysfunction-Associated Steatotic Liver Disease and establish a prediction model,https://www.ukbiobank.ac.uk/projects/assessing-the-impact-of-cardiometabolic-risk-factors-on-prognosis-in-metabolic-dysfunction-associated-steatotic-liver-disease-and-establish-a-prediction-model/,"Tsinghua University, China","Background & Rationale Non-Alcoholic Fatty Liver Disease has been redefined as Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD), highlighting the central role of cardiometabolic risk…",21 to 30 of 6936 results found
3,2,10 April 2026,2026-04-10 01:00:00,Risk factors and prognostic value of pericardial disease in cancer survivor.,https://www.ukbiobank.ac.uk/projects/risk-factors-and-prognostic-value-of-pericardial-disease-in-cancer-survivor/,"China-Japan Friendship Hospital, China","The core research questions of this study are:(1) Compared with the general population without tumors, do elderly (over 60 years old) cancer survivors have a…",21 to 30 of 6936 results found
3,3,10 April 2026,2026-04-10 01:00:00,Cross-Disease Blood Proteomic Profiling to Identify Blood-Brain Barrier Dysfunction Biomarkers in Neurological Disorders,https://www.ukbiobank.ac.uk/projects/cross-disease-blood-proteomic-profiling-to-identify-blood-brain-barrier-dysfunction-biomarkers-in-neurological-disorders/,"University of Vienna, Austria",The blood-brain barrier (BBB) is a protective interface that regulates the exchange of molecules between the bloodstream and the brain. Disruption of this barrier is…,21 to 30 of 6936 results found
3,4,10 April 2026,2026-04-10 01:00:00,Evaluation of biomarkers and risk factors for early prediction of cancer,https://www.ukbiobank.ac.uk/projects/evaluation-of-biomarkers-and-risk-factors-for-early-prediction-of-cancer/,"Qilu Hospital of Shandong University, China","Research question Cancer is one of the leading causes of death worldwide, claiming nearly 10 million lives each year. Due to its extremely complex…",21 to 30 of 6936 results found
3,5,10 April 2026,2026-04-10 01:00:00,Does continuous accelerometer data encode metabolic and cardiovascular health? Representation learning from wearable time-series to predict blood biomarker status,https://www.ukbiobank.ac.uk/projects/does-continuous-accelerometer-data-encode-metabolic-and-cardiovascular-health-representation-learning-from-wearable-time-series-to-predict-blood-biomarker-status/,"Project120 (traded as NOYU), Great Britain","Blood biomarkers like HbA1c, cholesterol, and triglycerides are central to identifying risk for type 2 diabetes and cardiovascular disease, yet blood tests are infrequent and…",21 to 30 of 6936 results found
3,6,10 April 2026,2026-04-10 01:00:00,Elucidating the Renal Axis in Systemic Metabolic Disorders: Integrated Multi-Omics and Clinical Trajectory Modeling of Cardiovascular-Kidney-Metabolic Syndrome,https://www.ukbiobank.ac.uk/projects/elucidating-the-renal-axis-in-systemic-metabolic-disorders-integrated-multi-omics-and-clinical-trajectory-modeling-of-cardiovascular-kidney-metabolic-syndrome/,"Peking University, China",This research aims to elucidate the etiology and prognostic trajectories of kidney diseases within the Cardiovascular-Kidney-Metabolic (CKM) syndrome and systemic metabolic disorders (SMD). Recognizing the…,21 to 30 of 6936 results found
3,7,10 April 2026,2026-04-10 01:00:00,Towards Precision Management of Cardiovascular Disease: A Multi-Omic Study from Primary Prevention to Treatment Outcomes and Long-Term Prognosis.,https://www.ukbiobank.ac.uk/projects/towards-precision-management-of-cardiovascular-disease-a-multi-omic-study-from-primary-prevention-to-treatment-outcomes-and-long-term-prognosis/,"Fuwai Hospital Chinese Academy of Medical Sciences, China","This project aims to advance the precision medicine approach for Cardiovascular Diseases (CVD) across the entire clinical spectrum, from initial risk prediction to treatment response…",21 to 30 of 6936 results found
3,8,10 April 2026,2026-04-10 01:00:00,Neurological Disorders: A comprehensive Research Framework for Risk Prediction and Therapeutic Innovation,https://www.ukbiobank.ac.uk/projects/neurological-disorders-a-comprehensive-research-framework-for-risk-prediction-and-therapeutic-innovation/,"Peking University, China",How do modifiable and non-modifiable risk factors interact to influence the onset and progression of neurological disorders like dementia and Parkinson’s? How can multi-source…,21 to 30 of 6936 results found
3,9,10 April 2026,2026-04-10 01:00:00,Development of a Foundation Model for Human Movement Analysis and Its Applications to Movement Disorders and Impairments,https://www.ukbiobank.ac.uk/projects/development-of-a-foundation-model-for-human-movement-analysis-and-its-applications-to-movement-disorders-and-impairments/,"University of Massachusetts Amherst, United States of America",Research Questions This research investigates whether: 1) a grammatical syntax of human movements exists and can be captured using wearable accelerometer data; 2) a…,21 to 30 of 6936 results found
3,10,10 April 2026,2026-04-10 01:00:00,Precision Medicine Research for Musculoskeletal Health: A Population Cohort-Based Study with Multi-Omic Strategies and Deep Phenotyping,https://www.ukbiobank.ac.uk/projects/precision-medicine-research-for-musculoskeletal-health-a-population-cohort-based-study-with-multi-omic-strategies-and-deep-phenotyping/,"Nanchang University, China","This project leverages multi-omic strategies and deep phenotyping to elucidate the pathogenesis and regulatory networks of musculoskeletal health-related disorders, identify biomarkers for precise prevention and…",21 to 30 of 6936 results found
4,1,10 April 2026,2026-04-10 01:00:00,Integrative multi-omics analysis and machine learning to dissect shared and disease-specific mechanisms across neurological disorders,https://www.ukbiobank.ac.uk/projects/integrative-multi-omics-analysis-and-machine-learning-to-dissect-shared-and-disease-specific-mechanisms-across-neurological-disorders/,"Guangzhou Medical University, China","Neurological disorders are a major contributor to disability and loss of independence worldwide. Although these conditions are often studied individually, many neurological diseases share overlapping…",31 to 40 of 6936 results found
4,2,10 April 2026,2026-04-10 01:00:00,"Extracellular Mechanisms as a Unifying Link Across Multiple Diseases: Multi-Omics, Genetic, and Clinical Data Integration in UK Biobank for Cross-Disease Target Discovery",https://www.ukbiobank.ac.uk/projects/extracellular-mechanisms-as-a-unifying-link-across-multiple-diseases-multi-omics-genetic-and-clinical-data-integration-in-uk-biobank-for-cross-disease-target-discovery/,"Shanghai Institute of Organic Chemistry, Chinese Academy of Sciences, China","Changes in the environment surrounding cells, such as tissue stiffness, mechanical forces from movement or load, and signals exchanged between cells and their surrounding matrix,…",31 to 40 of 6936 results found
4,3,10 April 2026,2026-04-10 01:00:00,Maternal smoking association with early onset cancer,https://www.ukbiobank.ac.uk/projects/maternal-smoking-association-with-early-onset-cancer/,"Vall d'Hebron Institute of Oncology (VHIO), Spain","Early onset cancer (diagnosis before 50yo) is increasing worldwide, even when genomic germline alterations should be stable, meaning that an external factor (exposome) should be…",31 to 40 of 6936 results found
4,4,10 April 2026,2026-04-10 01:00:00,"Molecular associations with osteoarthritis: stratification and prediction of progression, considering populations at-risk.",https://www.ukbiobank.ac.uk/projects/molecular-associations-with-osteoarthritis-stratification-and-prediction-of-progression-considering-populations-at-risk/,"Imperial College London, Great Britain","Osteoarthritis (OA) drug trials fail, partly because OA is highly heterogeneous and we cannot yet identify earlier stages most likely to progress or respond to…",31 to 40 of 6936 results found
4,5,10 April 2026,2026-04-10 01:00:00,Investigating ethnic differences in gene expression profiles in prostate cancer,https://www.ukbiobank.ac.uk/projects/investigating-ethnic-differences-in-gene-expression-profiles-in-prostate-cancer/,"University of Sunderland, Great Britain",Research questions Are there differences in the expression of immune-related genes between White and Black men with prostate cancer? Objectives Primary objective:…,31 to 40 of 6936 results found
4,6,9 April 2026,2026-04-09 01:00:00,Hormonal History and Neuroendocrine Signatures of Alzheimer’s Disease in Women: Defining Key Predictors of Risks and Outcomes,https://www.ukbiobank.ac.uk/projects/hormonal-history-and-neuroendocrine-signatures-of-alzheimers-disease-in-women-defining-key-predictors-of-risks-and-outcomes/,"Temple University, United States of America",Our objective is to remove barriers that prevent progress in reducing women’s risk of developing Alzheimer’s disease (AD). We will address this by investigating the…,31 to 40 of 6936 results found
4,7,9 April 2026,2026-04-09 01:00:00,Research on the evolution of disease burden and early genetic and imaging markers of metabolism-related fatty liver Disease based on GBD and UKB,https://www.ukbiobank.ac.uk/projects/research-on-the-evolution-of-disease-burden-and-early-genetic-and-imaging-markers-of-metabolism-related-fatty-liver-disease-based-on-gbd-and-ukb/,"Yan'an University., China",Research Questions:1.What genetic factors are associated with the development and progression of Metabolic-Associated Fatty Liver Disease (MAFLD) in the UK Biobank (UKB) cohort?2.How do genetic…,31 to 40 of 6936 results found
4,8,9 April 2026,2026-04-09 01:00:00,"Integrative multi-omics analysis of the genetic determinants, causal pathways, and hepatorenal consequences of uric acid metabolism",https://www.ukbiobank.ac.uk/projects/integrative-multi-omics-analysis-of-the-genetic-determinants-causal-pathways-and-hepatorenal-consequences-of-uric-acid-metabolism/,"Xiamen University, China",Scientific Rationale: Hyperuricemia is a precursor to gout and linked to Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD) and Chronic Kidney Disease (CKD). Despite the “uric…,31 to 40 of 6936 results found
4,9,9 April 2026,2026-04-09 01:00:00,"Multimodal data integration using AI to predict and model the development and progression of chronic disease, aging, and infectious disease outcomes",https://www.ukbiobank.ac.uk/projects/multimodal-data-integration-using-ai-to-predict-and-model-the-development-and-progression-of-chronic-disease-aging-and-infectious-disease-outcomes/,"Southern University of Science and Technology, China",This project aims to develop an AI-driven framework for predicting and modeling the development and progression of chronic diseases and aging by integrating diverse multimodal…,31 to 40 of 6936 results found
4,10,8 April 2026,2026-04-08 01:00:00,Immunogenomic Determinants of Drug Hypersensitivity and Allergic Diseases,https://www.ukbiobank.ac.uk/projects/immunogenomic-determinants-of-drug-hypersensitivity-and-allergic-diseases/,"Vanderbilt University Medical Center, United States of America","Adverse drug reactions and allergic diseases (such as asthma, eczema, and food allergy) are a growing public health concern that can have serious health consequences.",31 to 40 of 6936 results found
5,1,8 April 2026,2026-04-08 01:00:00,Mechanisms of Neurovascular Unit Failure Driven by “Small VLDL-GlycA”: A Multi-Omics and Eye-Brain-Body Axis Study,https://www.ukbiobank.ac.uk/projects/mechanisms-of-neurovascular-unit-failure-driven-by-small-vldl-glyca-a-multi-omics-and-eye-brain-body-axis-study/,"Sun Yat-sen Memorial Hospital, Sun Yat-sen University, China",Rationale: Accumulating evidence suggests neurodegeneration is a systemic metabolic failure. We propose an “Eye-Brain-Body” axis hypothesis: a specific “pro-inflammatory lipid” phenotype-characterized by Small VLDL particles…,41 to 50 of 6936 results found
5,2,7 April 2026,2026-04-07 01:00:00,UKB-RAP Exemplar Tier 3+ Restricted MRI Bulk Dataset,https://www.ukbiobank.ac.uk/projects/ukb-rap-exemplar-tier-3-restricted-mri-bulk-dataset/,"UK Biobank Ltd, Great Britain",UKB-RAP Exemplar Tier 3+ Restricted MRI Bulk Dataset – this is a service application to act as the exemplar Tier 3+ Restricted MRI bulk dataset…,41 to 50 of 6936 results found
5,3,7 April 2026,2026-04-07 01:00:00,The Genetic Architecture Linking Sarcopenia and Atrial Fibrillation: A Mendelian Randomization Study in the UK Biobank,https://www.ukbiobank.ac.uk/projects/the-genetic-architecture-linking-sarcopenia-and-atrial-fibrillation-a-mendelian-randomization-study-in-the-uk-biobank/,"Jinan University, China","This study aims to systematically investigate the shared genetic architecture and causal relationship between sarcopenia and atrial fibrillation (AF). Building upon existing observational evidence, the…",41 to 50 of 6936 results found
5,4,5 April 2026,2026-04-05 01:00:00,Elucidating sex-specific biological signatures and their drivers of brain ageing and dementia risk,https://www.ukbiobank.ac.uk/projects/elucidating-sex-specific-biological-signatures-and-their-drivers-of-brain-ageing-and-dementia-risk/,"Karolinska Institutet, Sweden","Research questions: 1. Do males and females exhibit distinct biological profiles associated with brain ageing and dementia risk? 2. Do sex-specific factors, such…",41 to 50 of 6936 results found
5,5,5 April 2026,2026-04-05 01:00:00,Development and validation of a prediction model for colorectal cancer prognosis,https://www.ukbiobank.ac.uk/projects/development-and-validation-of-a-prediction-model-for-colorectal-cancer-prognosis/,"University of Hong Kong, Hong Kong",Study Rationale: Colorectal cancer (CRC) is one of the leading causes of cancer-related deaths worldwide. Early detection and prevention are crucial for improving survival…,41 to 50 of 6936 results found
5,6,5 April 2026,2026-04-05 01:00:00,"Multi-modal Determinants of Ageing Disease in Older Adults: Trajectories, Risk Factors, Multi-omics, and Prediction in UK Biobank",https://www.ukbiobank.ac.uk/projects/multi-modal-determinants-of-ageing-disease-in-older-adults-trajectories-risk-factors-multi-omics-and-prediction-in-uk-biobank/,"Shenzhen Longgang Otolaryngology Hospital, China","Older adults frequently experience conditions affecting hearing/balance, oral health and vision, which can co-occur and contribute to functional decline and multimorbidity. UK Biobank enables large-scale…",41 to 50 of 6936 results found
5,7,5 April 2026,2026-04-05 01:00:00,GenetiQ_ Digital Twin platform,https://www.ukbiobank.ac.uk/projects/genetiq_-digital-twin-platform/,"Prepaire Labs, United Arab Emirates","Leveraging the UK Biobank dataset, GenetiQ’s research aims to build and validate an AI-powered Digital Twin platform to predict disease trajectories, optimize interventions, and extend…",41 to 50 of 6936 results found
5,8,5 April 2026,2026-04-05 01:00:00,Analysis of genetic and environmental (lifestyle) factors associated with complex disorders to design personalized disease-wide risk scores and individualized prevention protocols.,https://www.ukbiobank.ac.uk/projects/analysis-of-genetic-and-environmental-lifestyle-factors-associated-with-complex-disorders-to-design-personalized-disease-wide-risk-scores-and-individualized-prevention-protocols/,"Barcelona Supercomputing Center, Spain",Complex diseases such as asthma and type 2 diabetes arise from the interplay between genetic variation and environmental (lifestyle) factors. Each individual carries genetic changes…,41 to 50 of 6936 results found
5,9,5 April 2026,2026-04-05 01:00:00,"Associations of diet and lifestyle with chronic non-communicable diseases: a multi-modal analysis using genetic, biomarker, and imaging data from UK Biobank",https://www.ukbiobank.ac.uk/projects/associations-of-diet-and-lifestyle-with-chronic-non-communicable-diseases-a-multi-modal-analysis-using-genetic-biomarker-and-imaging-data-from-uk-biobank/,"China Medical University P.R.C, China","Project Outline Chronic non-communicable diseases (NCDs), such as cardiovascular disease, type 2 diabetes, cancer, and neurodegenerative disorders, represent the leading global health burden. Diet…",41 to 50 of 6936 results found
5,10,5 April 2026,2026-04-05 01:00:00,Associations Between Psychiatric Medication Use and the Risks of Colorectal Cancer and Pituitary Adenoma: A UK Biobank Study,https://www.ukbiobank.ac.uk/projects/associations-between-psychiatric-medication-use-and-the-risks-of-colorectal-cancer-and-pituitary-adenoma-a-uk-biobank-study/,"The First Affiliated Hospital, Sun Yat-sen University, China","Background: The prevalence of bipolar disorder (BD) and major depressive disorder (MDD) has risen substantially, increasing the population requiring long-term pharmacological treatment. While essential…",41 to 50 of 6936 results found
6,1,5 April 2026,2026-04-05 01:00:00,Utilizing Mendelian Randomization to Assess the Causal Relationship between Inflammation Biomarkers and Cardiometabolic Diseases,https://www.ukbiobank.ac.uk/projects/utilizing-mendelian-randomization-to-assess-the-causal-relationship-between-inflammation-biomarkers-and-cardiometabolic-diseases/,"Bispebjerg-Frederiksberg Hospital, University Hospital of Copenhagen, Denmark","When a biomarker or a risk factor is linked to chronic diseases, the direction of causality and the confounders involved can be questioned. An example…",51 to 60 of 6936 results found
6,2,5 April 2026,2026-04-05 01:00:00,Blood Pressure Variability and Dementia Risk,https://www.ukbiobank.ac.uk/projects/blood-pressure-variability-and-dementia-risk/,"University of Southern California, United States of America","Elevated blood pressure variability (BPV) is a risk factor for cerebral small vessel disease, neurodegeneration, and dementia, even when average blood pressure levels are aggressively…",51 to 60 of 6936 results found
6,3,5 April 2026,2026-04-05 01:00:00,Develop A Library of Health Risk Panels on Clinically-Relevant Traits Using the Multimodal Data From UK Biobank,https://www.ukbiobank.ac.uk/projects/develop-a-library-of-health-risk-panels-on-clinically-relevant-traits-using-the-multimodal-data-from-uk-biobank/,"Panoromics Health Sciences, United States of America",One of the prominent impacts of UK Biobank (UKB) on human health is to reveal etiological factors using its vast amount of data. Such results…,51 to 60 of 6936 results found
6,4,5 April 2026,2026-04-05 01:00:00,AI-Driven Risk Profiling and Optimization of Control Strategies for Early Cardiovascular-Kidney-Metabolic Syndrome in Chinese and Western Populations for Precision Prevention and Intervention,https://www.ukbiobank.ac.uk/projects/ai-driven-risk-profiling-and-optimization-of-control-strategies-for-early-cardiovascular-kidney-metabolic-syndrome-in-chinese-and-western-populations-for-precision-prevention-and-intervention/,"The Hong Kong Polytechnic University, Hong Kong",This project intends to investigate the intricate interplay of risk factors driving the early onset and progression of Cardiovascular-Kidney-Metabolic (CKM) Syndrome in younger adults. It…,51 to 60 of 6936 results found
6,5,5 April 2026,2026-04-05 01:00:00,"Determinants and Prediction of Cardiovascular Disease Using Epidemiological, Imaging, Genomic and Multi-Omics Data in the UK Biobank",https://www.ukbiobank.ac.uk/projects/determinants-and-prediction-of-cardiovascular-disease-using-epidemiological-imaging-genomic-and-multi-omics-data-in-the-uk-biobank/,"University of Manchester, Great Britain","Cardiovascular disease (CVD) remains a leading cause of morbidity and mortality worldwide, with substantial heterogeneity in disease susceptibility, progression, and clinical outcomes. Understanding cardiovascular disease…",51 to 60 of 6936 results found
6,6,5 April 2026,2026-04-05 01:00:00,"Multimodal Noninvasive Assessment of Epicardial Fat Function Heterogeneity, Molecular Mechanism Analysis, and Its Predictive Value for Adverse Cardiovascular Events",https://www.ukbiobank.ac.uk/projects/multimodal-noninvasive-assessment-of-epicardial-fat-function-heterogeneity-molecular-mechanism-analysis-and-its-predictive-value-for-adverse-cardiovascular-events/,"The Second Affiliated Hospital of Kunming Medical University, China","Rationale & Question: Epicardial adipose tissue (EAT) drives cardiovascular risk through its functional state, not just volume. Clinical imaging assesses only anatomy. We hypothesize that…",51 to 60 of 6936 results found
6,7,5 April 2026,2026-04-05 01:00:00,Multi-Omics and Clinical Integration for Chronic Disease Risk Factor Identification and Predictive Modeling,https://www.ukbiobank.ac.uk/projects/multi-omics-and-clinical-integration-for-chronic-disease-risk-factor-identification-and-predictive-modeling/,"Shanghai Jiao Tong University School of Medicine., China","The pathophysiological processes of chronic diseases, such as diabetes and hypertension, are highly complex and characterized by significant dynamic fluctuations. However, traditional clinical monitoring is…",51 to 60 of 6936 results found
6,8,5 April 2026,2026-04-05 01:00:00,"Comprehensive profiling of genetic, multi-omics, imaging, and lifestyle determinants for the trajectory and prognosis of coronary artery disease",https://www.ukbiobank.ac.uk/projects/comprehensive-profiling-of-genetic-multi-omics-imaging-and-lifestyle-determinants-for-the-trajectory-and-prognosis-of-coronary-artery-disease/,"Chinese Academy of Medical Sciences &Peking Union Medical College, China","Research Questions: 1) How do complex interactions among genetic susceptibility, anthropometric profiles (including imaging-derived body composition and muscle mass), and multidimensional lifestyle factors drive…",51 to 60 of 6936 results found
