app_id,start_date,month,pre_post_july_2024,title,institution,website_url,HIGH_SENSITIVITY,LOWER_SENSITIVITY_COMPARISON,LOW_STRICT,hs_wes_wgs_sequence,hs_s3_direct,hs_s3_text,hs_o2_field,hs_restricted_field,linked_field_count,linked_s3_field_count,linked_s3_field_count_timing_conservative,linked_o2_field_count,linked_restricted_field_count,field_debut_after_project_start,field_debut_after_project_start_ids,control_layer,control_evidence_type,control_matched_term,control_inferred_product,previous_classification,previous_confidence,legacy_route_modalities,already_rap_modalities,hs_sequence_product_term,hs_sequence_product_source,hs_sequence_product_excerpt,hs_s3_text_term,hs_s3_text_source,hs_s3_text_source_field_ids,hs_s3_text_source_field_titles,hs_s3_text_family,hs_s3_text_excerpt,evidence_source,evidence_detail,classification_reason
412,2012-10-01,2012-10,pre_july_2024,Lung function and its association with fatal and non-fatal outcomes,"City St George's, University of London",https://www.ukbiobank.ac.uk/projects/lung-function-and-its-association-with-fatal-and-non-fatal-outcomes/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
431,2013-06-30,2013-06,pre_july_2024,"Association between shift work and cancer, vascular disease and other diseases",University of Oxford,https://www.ukbiobank.ac.uk/projects/association-between-shift-work-and-cancer-vascular-disease-and-other-diseases/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,MEDIUM,QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
522,2013-07-01,2013-07,pre_july_2024,Retinal vessel morphology as a predictor of cardiovascular risk and disease outcome in later life,"City St George's, University of London",https://www.ukbiobank.ac.uk/projects/retinal-vessel-morphology-as-a-predictor-of-cardiovascular-risk-and-disease-outcome-in-later-life/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,IMAGING,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
648,2012-11-01,2012-11,pre_july_2024,Common and rare genetic variants in respiratory health: the UK Biobank Lung Exome Variant Evaluation (UK BiLEVE) consortium,University of Leicester,https://www.ukbiobank.ac.uk/projects/common-and-rare-genetic-variants-in-respiratory-health-the-uk-biobank-lung-exome-variant-evaluation-uk-bileve-consortium/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,C1,explicit_sequence_data_wording,exome data / exome variants,Whole exome sequencing data,MIXED,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,WES,WES,stage3_already_rap_modalities,WES,,,,,,,explicit WES/WGS or sequence-product evidence,stage3_already_rap_modalities=WES,"concrete WES/WGS, sequence data, or sequence-product term in observable evidence"
669,2013-01-01,2013-01,pre_july_2024,"Distribution and biological, environmental and lifestyle determinants of visual function and of refractive error in adults (aged 40 to 69 years) in the UK.",University College London,https://www.ukbiobank.ac.uk/projects/distribution-and-biological-environmental-and-lifestyle-determinants-of-visual-function-and-of-refractive-error-in-adults-aged-40-to-69-years-in-the-uk/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
676,2016-04-01,2016-04,pre_july_2024,Machine learning detection of novel disease correlates,University of Kent,https://www.ukbiobank.ac.uk/projects/machine-learning-detection-of-novel-disease-correlates/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,UNCLEAR,LOW,,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
742,2016-04-01,2016-04,pre_july_2024,"Understanding the Risk Factors Underlying Sudden Cardiac Death: An Investigation Utilising Bio, Genomic and Clinical Markers by the UK Biobank Cardio-Metabolic Consortium","City St George's, University of London",https://www.ukbiobank.ac.uk/projects/understanding-the-risk-factors-underlying-sudden-cardiac-death-an-investigation-utilising-bio-genomic-and-clinical-markers-by-the-uk-biobank-cardio-metabolic-consortium/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
761,2012-09-19,2012-09,pre_july_2024,Risk of type 2 Diabetes and development of disease,University of Exeter,https://www.ukbiobank.ac.uk/projects/risk-of-type-2-diabetes-and-development-of-disease/,0,1,0,0,0,0,1,1,1,0,0,1,1,1,20142,,,,,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,o2_field_ids=20142; restricted_field_ids=20142,no identified high evidence under the observable proxy
774,2012-11-05,2012-11,pre_july_2024,Cross-sectional study to investigate ethnic differences in cardiovascular risk and mental health,University of Glasgow,https://www.ukbiobank.ac.uk/projects/cross-sectional-study-to-investigate-ethnic-differences-in-cardiovascular-risk-and-mental-health/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,BIOMARKERS_ASSAYS|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
788,2013-02-01,2013-02,pre_july_2024,Heritability of disease frequency,UK Biobank Ltd,https://www.ukbiobank.ac.uk/projects/heritability-of-disease-frequency/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,ENVIRONMENT_GEOSPATIAL|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=ENVIRONMENT_GEOSPATIAL|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
828,2015-07-13,2015-07,pre_july_2024,Evaluating variants in cancer predisposition genes for improved clinical interpretation,Institute of Cancer Research,https://www.ukbiobank.ac.uk/projects/evaluating-variants-in-cancer-predisposition-genes-for-improved-clinical-interpretation/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
837,2015-02-01,2015-02,pre_july_2024,Gary Frost,Imperial College London,https://www.ukbiobank.ac.uk/projects/gary-frost/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,IMAGING|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
871,2015-05-31,2015-05,pre_july_2024,Genetic factors associated with being at different extremes of the reproductive lifespan,University of Exeter,https://www.ukbiobank.ac.uk/projects/genetic-factors-associated-with-being-at-different-extremes-of-the-reproductive-lifespan/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,C6,explicit_sequence_data_wording,exome sequencing / exome sequence,Whole exome sequencing data,UNCLEAR,LOW,,,whole exome sequencing,control_inferred_product,Whole exome sequencing data,,,,,,,explicit WES/WGS or sequence-product evidence,control_inferred_product=whole exome sequencing,"concrete WES/WGS, sequence data, or sequence-product term in observable evidence"
885,2014-11-01,2014-11,pre_july_2024,Epidemiology of kidney stone disease,University of Oxford,https://www.ukbiobank.ac.uk/projects/epidemiology-of-kidney-stone-disease/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,LINKED_HEALTH_RECORDS|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
1100,2014-07-01,2014-07,pre_july_2024,The causes of and risk factors for visual impairment in middle-aged adults in the UK Biobank,Leeds Teaching Hospitals NHS Trust,https://www.ukbiobank.ac.uk/projects/the-causes-of-and-risk-factors-for-visual-impairment-in-middle-aged-adults-in-the-uk-biobank/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,UNCLEAR,LOW,,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
1144,2012-11-05,2012-11,pre_july_2024,Epidemiology of chronic pain,University of Aberdeen,https://www.ukbiobank.ac.uk/projects/epidemiology-of-chronic-pain/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
1159,2013-01-01,2013-01,pre_july_2024,Association beween cognitive function and Chonic Obstructive Pulmonary Disease,CIRO+,https://www.ukbiobank.ac.uk/projects/association-beween-cognitive-function-and-chonic-obstructive-pulmonary-disease/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
1163,2013-09-18,2013-09,pre_july_2024,Association between dietary intake and lung function,CIRO+,https://www.ukbiobank.ac.uk/projects/association-between-dietary-intake-and-lung-function/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,MEDIUM,PHYSICAL_MEASURES,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES,only strict low-granularity legacy modality evidence and no high flags
1251,2015-07-01,2015-07,pre_july_2024,"The metabolically healthy obese and metabolically obese normal-weight in the UK Biobank: Prevalence, genes and lifestyle contributors, disease risk and mortality",Icahn School of Medicine at Mount Sinai,https://www.ukbiobank.ac.uk/projects/the-metabolically-healthy-obese-and-metabolically-obese-normal-weight-in-the-uk-biobank-prevalence-genes-and-lifestyle-contributors-disease-risk-and-mortality/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,C6,explicit_sequence_data_wording,exome sequencing / exome sequence,Whole exome sequencing data,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,whole exome sequencing,control_inferred_product,Whole exome sequencing data,,,,,,,explicit WES/WGS or sequence-product evidence,control_inferred_product=whole exome sequencing,"concrete WES/WGS, sequence data, or sequence-product term in observable evidence"
1331,2014-07-01,2014-07,pre_july_2024,Prevalence and risk factors for benign and malignant colorectal disease in the UK.,North Bristol NHS Trust,https://www.ukbiobank.ac.uk/projects/prevalence-and-risk-factors-for-benign-and-malignant-colorectal-disease-in-the-uk/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,MEDIUM,QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
1383,2012-12-01,2012-12,pre_july_2024,Environmental risk factors of non-cancer illness,University of Exeter,https://www.ukbiobank.ac.uk/projects/environmental-risk-factors-of-non-cancer-illness/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,UNCLEAR,LOW,,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
1417,2013-06-01,2013-06,pre_july_2024,Associations between parental attained ages and health status,University of Exeter,https://www.ukbiobank.ac.uk/projects/associations-between-parental-attained-ages-and-health-status/,0,1,0,0,0,0,1,1,1,0,0,1,1,1,20142,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION,,,,,,,,,,,lower-sensitivity comparison complement,o2_field_ids=20142; restricted_field_ids=20142,no identified high evidence under the observable proxy
1602,2014-01-01,2014-01,pre_july_2024,Association between diet and depression,Semmelweis University,https://www.ukbiobank.ac.uk/projects/association-between-diet-and-depression/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
1618,2018-05-14,2018-05,pre_july_2024,Interaction of genetics and environment in triggering anti-PLA2R autoantibody in membranous nephropathy: a paradigm for initiation of autoimmunity,Central Manchester University Hospitals NHS Trust,https://www.ukbiobank.ac.uk/projects/interaction-of-genetics-and-environment-in-triggering-anti-pla2r-autoantibody-in-membranous-nephropathy-a-paradigm-for-initiation-of-autoimmunity/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,BIOMARKERS_ASSAYS|ENVIRONMENT_GEOSPATIAL|GENOTYPING_IMPUTATION|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
1781,2014-03-03,2014-03,pre_july_2024,Personalized prediction of diabetes outcomes,AIST,https://www.ukbiobank.ac.uk/projects/personalized-prediction-of-diabetes-outcomes/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,BIOMARKERS_ASSAYS|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
1969,2017-03-01,2017-03,pre_july_2024,Development of structural and functional brain connectivity during normal and pathological ageing,Newcastle University,https://www.ukbiobank.ac.uk/projects/development-of-structural-and-functional-brain-connectivity-during-normal-and-pathological-ageing/,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,BIOMARKERS_ASSAYS|IMAGING,,,,,brain imaging,schema27_notes,20215; 20216; 20217; 20218; 20219; 20220; 20221; 20225; 20227; 20249; 20250; 20251; 20252; 20253; 20266; 26300; 31219; 31220; 31221; 31222; 31223; 31224; 31225; 31226; 31227; 31228; 31229; 31230; 31231; 31232; 31233; 31234; 31235; 31236; 31237; 31238; 31239; 31240; 31241; 31242; 31243; 31244; 1020215; 1020216; 1020217; 1020218; 1020219; 1020220; 1020221; 1020225; 1020227; 1020249; 1020250; 1020251; 1020252; 1020253; 1020266; 1026300; 2020215; 2020216; 2020217; 2020218; 2020219; 2020220; 2020221; 2020225; 2020227; 2020249; 2020250; 2020251; 2020252; 2020253; 2020266; 2026300,Scout images for brain scans - DICOM; T1 structural brain images - DICOM; Functional brain images - task - DICOM; Multiband diffusion brain images - DICOM; Susceptibility weighted brain images - DICOM; T2 FLAIR structural brain images - DICOM; T2/PD brain images - DICOM; Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; Multiband diffusion brain images - NIFTI; Susceptibility weighted brain images - NIFTI; ... +62 more,Brain MRI/imaging,"The network of connections between brain regions undergoes changes during the ageing process. In some cases, these changes lead to developmental disorders at young ages (epilepsy, schizophrenia, depression) or...",S3-derived application text,schema27_notes term=brain imaging field_family=Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
1995,2013-03-25,2013-03,pre_july_2024,Evaluation of the clinical value of emerging risk factors for primary prevention of cardiovascular disease,Queen Mary University of London,https://www.ukbiobank.ac.uk/projects/evaluation-of-the-clinical-value-of-emerging-risk-factors-for-primary-prevention-of-cardiovascular-disease/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
2112,2013-03-04,2013-03,pre_july_2024,Automated macular thickness measurements and association with potential risk factors and systemic disease,Moorfields Eye Hospital NHS Foundation Trust,https://www.ukbiobank.ac.uk/projects/automated-macular-thickness-measurements-and-association-with-potential-risk-factors-and-systemic-disease/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,C6,explicit_sequence_data_wording,exome sequencing / exome sequence,Whole exome sequencing data,NEWLY_RAP_BOUND,HIGH,IMAGING|QUESTIONNAIRES_ASSESSMENT,,whole exome sequencing,control_inferred_product,Whole exome sequencing data,,,,,,,explicit WES/WGS or sequence-product evidence,control_inferred_product=whole exome sequencing,"concrete WES/WGS, sequence data, or sequence-product term in observable evidence"
2482,2013-10-01,2013-10,pre_july_2024,Comparisson of smoking behaviour between men and women to assess risk inducing habits,George Institute for Global Health,https://www.ukbiobank.ac.uk/projects/comparisson-of-smoking-behaviour-between-men-and-women-to-assess-risk-inducing-habits/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,MEDIUM,QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
2495,2015-02-23,2015-02,pre_july_2024,Sex differences in the association between major and modifiable risk factors with cardiovascular disease,George Institute for Global Health,https://www.ukbiobank.ac.uk/projects/sex-differences-in-the-association-between-major-and-modifiable-risk-factors-with-cardiovascular-disease/,0,1,0,0,0,0,1,1,1,0,0,1,1,1,20142,,,,,NEWLY_RAP_BOUND,HIGH,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,o2_field_ids=20142; restricted_field_ids=20142,no identified high evidence under the observable proxy
2532,2017-03-01,2017-03,pre_july_2024,UK Biobank Stroke Study (UKBiSS): developing an in-depth understanding of the determinants of stroke and its subtypes,University of Edinburgh,https://www.ukbiobank.ac.uk/projects/uk-biobank-stroke-study-ukbiss-developing-an-in-depth-understanding-of-the-determinants-of-stroke-and-its-subtypes/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,C6,explicit_sequence_data_wording,whole exome sequencing / whole-exome sequence,Whole exome sequencing data,NEWLY_RAP_BOUND,HIGH,BIOMARKERS_ASSAYS|ENVIRONMENT_GEOSPATIAL|GENOTYPING_IMPUTATION|IMAGING|LINKED_HEALTH_RECORDS|QUESTIONNAIRES_ASSESSMENT,,whole exome sequencing,control_inferred_product,Whole exome sequencing data,,,,,,,explicit WES/WGS or sequence-product evidence,control_inferred_product=whole exome sequencing,"concrete WES/WGS, sequence data, or sequence-product term in observable evidence"
2964,2015-09-01,2015-09,pre_july_2024,Description of cardiovascular phenotype in the UK Biobank population based on cardiovascular magnetic resonance and carotid ultrasound,Queen Mary University of London,https://www.ukbiobank.ac.uk/projects/description-of-cardiovascular-phenotype-in-the-uk-biobank-population-based-on-cardiovascular-magnetic-resonance-and-carotid-ultrasound/,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,IMAGING,,,,,carotid ultrasound,schema27_title,20222; 20223; 20226; 20241; 30005; 1020222; 1020223; 1020226; 1020241; 1030005; 2020222; 2020223; 2020226; 2020241; 2030005,Carotid artery ultrasound image (left); Carotid artery ultrasound image (right); Carotid artery ultrasound report; Raw carotid device data; Carotid Artery Ultrasound (MAT format); EMBARGOED UNLINKED : Carotid artery ultrasound image (left); EMBARGOED UNLINKED : Carotid artery ultrasound image (right); EMBARGOED UNLINKED : Carotid artery ultrasound report; EMBARGOED UNLINKED : Raw carotid device data; EMBARGOED UNLINKED : Carotid Artery Ultrasound (MAT format); EMBARGOED LINKED : Carotid artery ultrasound image (left); EMBARGOED LINKED : Carotid artery ultrasound image (right); ... +3 more,Carotid ultrasound,...lar phenotype in the UK Biobank population based on cardiovascular magnetic resonance and carotid ultrasound,S3-derived application text,schema27_title term=carotid ultrasound field_family=Carotid ultrasound,application text matched high-precision term derived from the 199 s3 Schema 1 fields
3028,2017-04-03,2017-04,pre_july_2024,Salivary biomarkers of a healthy diet and development of type 2 diabetes,King's College London,https://www.ukbiobank.ac.uk/projects/salivary-biomarkers-of-a-healthy-diet-and-development-of-type-2-diabetes/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,BIOMARKERS_ASSAYS|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
3037,2013-07-01,2013-07,pre_july_2024,Diet and its associatio between health and risk of cancer,University of Auckland,https://www.ukbiobank.ac.uk/projects/diet-and-its-associatio-between-health-and-risk-of-cancer/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,BIOMARKERS_ASSAYS|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
