website_page,website_index_on_page,website_start_date,website_start_date_text,website_title,website_institution,website_url,match_status,match_method,matched_app_id,schema27_title,schema27_institution,candidate_app_ids
2,1,2026-04-15,15 April 2026,Multimodal investigation of Cardiovascular-Kidney-Metabolic (CKM) syndrome: neuro-metabolic axes and AI modelling,"The Second Affiliated Hospital, Chongqing Medical University, China",https://www.ukbiobank.ac.uk/projects/multimodal-investigation-of-cardiovascular-kidney-metabolic-ckm-syndrome-neuro-metabolic-axes-and-ai-modelling/,matched,unique_normalized_title,1246329,Multimodal investigation of Cardiovascular-Kidney-Metabolic (CKM) syndrome: neuro-metabolic axes and AI modelling,"The Second Affiliated Hospital, Chongqing Medical University",1246329
2,2,2026-04-15,15 April 2026,High-Dimensional Deconvolution of the Plasma Proteome: Mapping Organ-Specific Aging Trajectories and Disease Risk,"University of Luxembourg, Luxembourg",https://www.ukbiobank.ac.uk/projects/high-dimensional-deconvolution-of-the-plasma-proteome-mapping-organ-specific-aging-trajectories-and-disease-risk/,matched,unique_normalized_title,1196830,High-Dimensional Deconvolution of the Plasma Proteome: Mapping Organ-Specific Aging Trajectories and Disease Risk,University of Luxembourg,1196830
2,3,2026-04-15,15 April 2026,Memory-Efficient Genomic Selection Using Multi-Indicator Feature Selection and Stacking Machine Learning for Complex Trait Prediction,"China Agricultural University, China",https://www.ukbiobank.ac.uk/projects/memory-efficient-genomic-selection-using-multi-indicator-feature-selection-and-stacking-machine-learning-for-complex-trait-prediction/,matched,unique_normalized_title,1193937,Memory-Efficient Genomic Selection Using Multi-Indicator Feature Selection and Stacking Machine Learning for Complex Trait Prediction,China Agricultural University,1193937
2,4,2026-04-15,15 April 2026,Molecular and genetic analysis of unilateral renal diseases,"Iowa State University, United States of America",https://www.ukbiobank.ac.uk/projects/molecular-and-genetic-analysis-of-unilateral-renal-diseases/,matched,unique_normalized_title,1203422,Molecular and genetic analysis of unilateral renal diseases,Iowa State University,1203422
2,5,2026-04-13,13 April 2026,"An Integrated Study of the Etiology, Risk Prediction, and Molecular Mechanisms of Orthopedic Diseases and Sports Injuries Using Epidemiological, Multi-omics, and Sports Medicine Approaches","Xiamen University, China",https://www.ukbiobank.ac.uk/projects/an-integrated-study-of-the-etiology-risk-prediction-and-molecular-mechanisms-of-orthopedic-diseases-and-sports-injuries-using-epidemiological-multi-omics-and-sports-medicine-approaches/,matched,unique_normalized_title,1109709,"An Integrated Study of the Etiology, Risk Prediction, and Molecular Mechanisms of Orthopedic Diseases and Sports Injuries Using Epidemiological, Multi-omics, and Sports Medicine Approaches",Xiamen University,1109709
2,6,2026-04-13,13 April 2026,"AI-Based Prediction, Subtype Analysis, and Biomarker Discovery for Personalized Medicine in Emotional Disorders Using Multi-Omics, Clinical, and Imaging Data","Korea University College of Medicine, Korea (South)",https://www.ukbiobank.ac.uk/projects/ai-based-prediction-subtype-analysis-and-biomarker-discovery-for-personalized-medicine-in-emotional-disorders-using-multi-omics-clinical-and-imaging-data/,matched,unique_normalized_title,1046027,"AI-Based Prediction, Subtype Analysis, and Biomarker Discovery for Personalized Medicine in Emotional Disorders Using Multi-Omics, Clinical, and Imaging Data",Korea University College of Medicine,1046027
2,7,2026-04-13,13 April 2026,Genetic predisposition to mesothelioma: discovery of cancer susceptibility genes in asbestos-exposed and familial mesothelioma cohorts.,"University of Hawaii, United States of America",https://www.ukbiobank.ac.uk/projects/genetic-predisposition-to-mesothelioma-discovery-of-cancer-susceptibility-genes-in-asbestos-exposed-and-familial-mesothelioma-cohorts/,matched,unique_normalized_title,1080334,Genetic predisposition to mesothelioma: discovery of cancer susceptibility genes in asbestos-exposed and familial mesothelioma cohorts.,University of Hawaii,1080334
2,8,2026-04-12,12 April 2026,"Associations of Physical Activity Types, Intensity, and Frequency with Mortality and Disease Incidence: Evidence from UK Biobank","South China Normal University, China",https://www.ukbiobank.ac.uk/projects/associations-of-physical-activity-types-intensity-and-frequency-with-mortality-and-disease-incidence-evidence-from-uk-biobank/,matched,unique_normalized_title,1197482,"Associations of Physical Activity Types, Intensity, and Frequency with Mortality and Disease Incidence: Evidence from UK Biobank",South China Normal University,1197482
2,9,2026-04-12,12 April 2026,Identification of Genetic Modifiers and Novel Therapeutic Targets for GBA1-associated Neuronopathic Gaucher Disease,"Indian Institute of Technology (BHU) Varanasi, India",https://www.ukbiobank.ac.uk/projects/identification-of-genetic-modifiers-and-novel-therapeutic-targets-for-gba1-associated-neuronopathic-gaucher-disease/,matched,unique_normalized_title,1245371,Identification of Genetic Modifiers and Novel Therapeutic Targets for GBA1-associated Neuronopathic Gaucher Disease,Indian Institute of Technology (BHU) Varanasi,1245371
2,10,2026-04-12,12 April 2026,Workplace Stress and Health During the Menopausal Transition: Evidence from a Longitudinal Study of Employed Women,"EBS Universität für Wirtschaft und Recht gGmbH, Germany",https://www.ukbiobank.ac.uk/projects/workplace-stress-and-health-during-the-menopausal-transition-evidence-from-a-longitudinal-study-of-employed-women/,matched,unique_normalized_title,1256889,Workplace Stress and Health During the Menopausal Transition: Evidence from a Longitudinal Study of Employed Women,EBS Universität für Wirtschaft und Recht gGmbH,1256889
3,1,2026-04-12,12 April 2026,Assessing the impact of cardiometabolic risk factors on prognosis in Metabolic Dysfunction-Associated Steatotic Liver Disease and establish a prediction model,"Tsinghua University, China",https://www.ukbiobank.ac.uk/projects/assessing-the-impact-of-cardiometabolic-risk-factors-on-prognosis-in-metabolic-dysfunction-associated-steatotic-liver-disease-and-establish-a-prediction-model/,matched,unique_normalized_title,1316610,Assessing the impact of cardiometabolic risk factors on prognosis in Metabolic Dysfunction-Associated Steatotic Liver Disease and establish a prediction model,Tsinghua University,1316610
3,2,2026-04-10,10 April 2026,Risk factors and prognostic value of pericardial disease in cancer survivor.,"China-Japan Friendship Hospital, China",https://www.ukbiobank.ac.uk/projects/risk-factors-and-prognostic-value-of-pericardial-disease-in-cancer-survivor/,matched,unique_normalized_title,1107070,Risk factors and prognostic value of pericardial disease in cancer survivor.,China-Japan Friendship Hospital,1107070
3,3,2026-04-10,10 April 2026,Cross-Disease Blood Proteomic Profiling to Identify Blood-Brain Barrier Dysfunction Biomarkers in Neurological Disorders,"University of Vienna, Austria",https://www.ukbiobank.ac.uk/projects/cross-disease-blood-proteomic-profiling-to-identify-blood-brain-barrier-dysfunction-biomarkers-in-neurological-disorders/,matched,unique_normalized_title,1116322,Cross-Disease Blood Proteomic Profiling to Identify Blood-Brain Barrier Dysfunction Biomarkers in Neurological Disorders,University of Vienna,1116322
3,4,2026-04-10,10 April 2026,Evaluation of biomarkers and risk factors for early prediction of cancer,"Qilu Hospital of Shandong University, China",https://www.ukbiobank.ac.uk/projects/evaluation-of-biomarkers-and-risk-factors-for-early-prediction-of-cancer/,matched,unique_normalized_title,1324868,Evaluation of biomarkers and risk factors for early prediction of cancer,Qilu Hospital of Shandong University,1324868
3,5,2026-04-10,10 April 2026,Does continuous accelerometer data encode metabolic and cardiovascular health? Representation learning from wearable time-series to predict blood biomarker status,"Project120 (traded as NOYU), Great Britain",https://www.ukbiobank.ac.uk/projects/does-continuous-accelerometer-data-encode-metabolic-and-cardiovascular-health-representation-learning-from-wearable-time-series-to-predict-blood-biomarker-status/,matched,unique_normalized_title,1323941,Does continuous accelerometer data encode metabolic and cardiovascular health? Representation learning from wearable time-series to predict blood biomarker status,Project120 (traded as NOYU),1323941
3,6,2026-04-10,10 April 2026,Elucidating the Renal Axis in Systemic Metabolic Disorders: Integrated Multi-Omics and Clinical Trajectory Modeling of Cardiovascular-Kidney-Metabolic Syndrome,"Peking University, China",https://www.ukbiobank.ac.uk/projects/elucidating-the-renal-axis-in-systemic-metabolic-disorders-integrated-multi-omics-and-clinical-trajectory-modeling-of-cardiovascular-kidney-metabolic-syndrome/,matched,unique_normalized_title,1325851,Elucidating the Renal Axis in Systemic Metabolic Disorders: Integrated Multi-Omics and Clinical Trajectory Modeling of Cardiovascular-Kidney-Metabolic Syndrome,Peking University,1325851
3,7,2026-04-10,10 April 2026,Towards Precision Management of Cardiovascular Disease: A Multi-Omic Study from Primary Prevention to Treatment Outcomes and Long-Term Prognosis.,"Fuwai Hospital Chinese Academy of Medical Sciences, China",https://www.ukbiobank.ac.uk/projects/towards-precision-management-of-cardiovascular-disease-a-multi-omic-study-from-primary-prevention-to-treatment-outcomes-and-long-term-prognosis/,matched,unique_normalized_title,1093204,Towards Precision Management of Cardiovascular Disease: A Multi-Omic Study from Primary Prevention to Treatment Outcomes and Long-Term Prognosis.,Fuwai Hospital Chinese Academy of Medical Sciences,1093204
3,8,2026-04-10,10 April 2026,Neurological Disorders: A comprehensive Research Framework for Risk Prediction and Therapeutic Innovation,"Peking University, China",https://www.ukbiobank.ac.uk/projects/neurological-disorders-a-comprehensive-research-framework-for-risk-prediction-and-therapeutic-innovation/,matched,unique_normalized_title,1017630,Neurological Disorders: A comprehensive Research Framework for Risk Prediction and Therapeutic Innovation,Peking University,1017630
3,9,2026-04-10,10 April 2026,Development of a Foundation Model for Human Movement Analysis and Its Applications to Movement Disorders and Impairments,"University of Massachusetts Amherst, United States of America",https://www.ukbiobank.ac.uk/projects/development-of-a-foundation-model-for-human-movement-analysis-and-its-applications-to-movement-disorders-and-impairments/,matched,unique_normalized_title,737792,Development of a Foundation Model for Human Movement Analysis and Its Applications to Movement Disorders and Impairments,University of Massachusetts Amherst,737792
3,10,2026-04-10,10 April 2026,Precision Medicine Research for Musculoskeletal Health: A Population Cohort-Based Study with Multi-Omic Strategies and Deep Phenotyping,"Nanchang University, China",https://www.ukbiobank.ac.uk/projects/precision-medicine-research-for-musculoskeletal-health-a-population-cohort-based-study-with-multi-omic-strategies-and-deep-phenotyping/,matched,unique_normalized_title,1329482,Precision Medicine Research for Musculoskeletal Health: A Population Cohort-Based Study with Multi-Omic Strategies and Deep Phenotyping,Nanchang University,1329482
4,1,2026-04-10,10 April 2026,Integrative multi-omics analysis and machine learning to dissect shared and disease-specific mechanisms across neurological disorders,"Guangzhou Medical University, China",https://www.ukbiobank.ac.uk/projects/integrative-multi-omics-analysis-and-machine-learning-to-dissect-shared-and-disease-specific-mechanisms-across-neurological-disorders/,matched,unique_normalized_title,1330823,Integrative multi-omics analysis and machine learning to dissect shared and disease-specific mechanisms across neurological disorders,Guangzhou Medical University,1330823
4,2,2026-04-10,10 April 2026,"Extracellular Mechanisms as a Unifying Link Across Multiple Diseases: Multi-Omics, Genetic, and Clinical Data Integration in UK Biobank for Cross-Disease Target Discovery","Shanghai Institute of Organic Chemistry, Chinese Academy of Sciences, China",https://www.ukbiobank.ac.uk/projects/extracellular-mechanisms-as-a-unifying-link-across-multiple-diseases-multi-omics-genetic-and-clinical-data-integration-in-uk-biobank-for-cross-disease-target-discovery/,matched,unique_normalized_title,1170090,"Extracellular Mechanisms as a Unifying Link Across Multiple Diseases: Multi-Omics, Genetic, and Clinical Data Integration in UK Biobank for Cross-Disease Target Discovery","Shanghai Institute of Organic Chemistry, Chinese Academy of Sciences",1170090
4,3,2026-04-10,10 April 2026,Maternal smoking association with early onset cancer,"Vall d'Hebron Institute of Oncology (VHIO), Spain",https://www.ukbiobank.ac.uk/projects/maternal-smoking-association-with-early-onset-cancer/,matched,unique_normalized_title,1224320,Maternal smoking association with early onset cancer,Vall d'Hebron Institute of Oncology (VHIO),1224320
4,4,2026-04-10,10 April 2026,"Molecular associations with osteoarthritis: stratification and prediction of progression, considering populations at-risk.","Imperial College London, Great Britain",https://www.ukbiobank.ac.uk/projects/molecular-associations-with-osteoarthritis-stratification-and-prediction-of-progression-considering-populations-at-risk/,matched,unique_normalized_title,1271410,"Molecular associations with osteoarthritis: stratification and prediction of progression, considering populations at-risk.",Imperial College London,1271410
4,5,2026-04-10,10 April 2026,Investigating ethnic differences in gene expression profiles in prostate cancer,"University of Sunderland, Great Britain",https://www.ukbiobank.ac.uk/projects/investigating-ethnic-differences-in-gene-expression-profiles-in-prostate-cancer/,matched,unique_normalized_title,1232790,Investigating ethnic differences in gene expression profiles in prostate cancer,University of Sunderland,1232790
4,6,2026-04-09,9 April 2026,Hormonal History and Neuroendocrine Signatures of Alzheimer’s Disease in Women: Defining Key Predictors of Risks and Outcomes,"Temple University, United States of America",https://www.ukbiobank.ac.uk/projects/hormonal-history-and-neuroendocrine-signatures-of-alzheimers-disease-in-women-defining-key-predictors-of-risks-and-outcomes/,matched,detail_page_app_id_after_title_unmatched_or_ambiguous,1045071,Hormonal History and Neuroendocrine Signatures of Alzheimer's Disease in Women: Defining Key Predictors of Risks and Outcomes,Temple University,
4,7,2026-04-09,9 April 2026,Research on the evolution of disease burden and early genetic and imaging markers of metabolism-related fatty liver Disease based on GBD and UKB,"Yan'an University., China",https://www.ukbiobank.ac.uk/projects/research-on-the-evolution-of-disease-burden-and-early-genetic-and-imaging-markers-of-metabolism-related-fatty-liver-disease-based-on-gbd-and-ukb/,matched,unique_normalized_title,1182302,Research on the evolution of disease burden and early genetic and imaging markers of metabolism-related fatty liver Disease based on GBD and UKB,Yan'an University.,1182302
4,8,2026-04-09,9 April 2026,"Integrative multi-omics analysis of the genetic determinants, causal pathways, and hepatorenal consequences of uric acid metabolism","Xiamen University, China",https://www.ukbiobank.ac.uk/projects/integrative-multi-omics-analysis-of-the-genetic-determinants-causal-pathways-and-hepatorenal-consequences-of-uric-acid-metabolism/,matched,unique_normalized_title,1240419,"Integrative multi-omics analysis of the genetic determinants, causal pathways, and hepatorenal consequences of uric acid metabolism",Xiamen University,1240419
4,9,2026-04-09,9 April 2026,"Multimodal data integration using AI to predict and model the development and progression of chronic disease, aging, and infectious disease outcomes","Southern University of Science and Technology, China",https://www.ukbiobank.ac.uk/projects/multimodal-data-integration-using-ai-to-predict-and-model-the-development-and-progression-of-chronic-disease-aging-and-infectious-disease-outcomes/,matched,unique_normalized_title,1204767,"Multimodal data integration using AI to predict and model the development and progression of chronic disease, aging, and infectious disease outcomes",Southern University of Science and Technology,1204767
4,10,2026-04-08,8 April 2026,Immunogenomic Determinants of Drug Hypersensitivity and Allergic Diseases,"Vanderbilt University Medical Center, United States of America",https://www.ukbiobank.ac.uk/projects/immunogenomic-determinants-of-drug-hypersensitivity-and-allergic-diseases/,matched,unique_normalized_title,1189233,Immunogenomic Determinants of Drug Hypersensitivity and Allergic Diseases,Vanderbilt University Medical Center,1189233
5,1,2026-04-08,8 April 2026,Mechanisms of Neurovascular Unit Failure Driven by “Small VLDL-GlycA”: A Multi-Omics and Eye-Brain-Body Axis Study,"Sun Yat-sen Memorial Hospital, Sun Yat-sen University, China",https://www.ukbiobank.ac.uk/projects/mechanisms-of-neurovascular-unit-failure-driven-by-small-vldl-glyca-a-multi-omics-and-eye-brain-body-axis-study/,matched,unique_normalized_title,1280701,"Mechanisms of Neurovascular Unit Failure Driven by ""Small VLDL-GlycA"": A Multi-Omics and Eye-Brain-Body Axis Study","Sun Yat-sen Memorial Hospital, Sun Yat-sen University",1280701
5,2,2026-04-07,7 April 2026,UKB-RAP Exemplar Tier 3+ Restricted MRI Bulk Dataset,"UK Biobank Ltd, Great Britain",https://www.ukbiobank.ac.uk/projects/ukb-rap-exemplar-tier-3-restricted-mri-bulk-dataset/,matched,unique_normalized_title,1355703,UKB-RAP Exemplar Tier 3+ Restricted MRI Bulk Dataset,UK Biobank Ltd,1355703
5,3,2026-04-07,7 April 2026,The Genetic Architecture Linking Sarcopenia and Atrial Fibrillation: A Mendelian Randomization Study in the UK Biobank,"Jinan University, China",https://www.ukbiobank.ac.uk/projects/the-genetic-architecture-linking-sarcopenia-and-atrial-fibrillation-a-mendelian-randomization-study-in-the-uk-biobank/,matched,unique_normalized_title,1221010,The Genetic Architecture Linking Sarcopenia and Atrial Fibrillation: A Mendelian Randomization Study in the UK Biobank,Jinan University,1221010
5,4,2026-04-05,5 April 2026,Elucidating sex-specific biological signatures and their drivers of brain ageing and dementia risk,"Karolinska Institutet, Sweden",https://www.ukbiobank.ac.uk/projects/elucidating-sex-specific-biological-signatures-and-their-drivers-of-brain-ageing-and-dementia-risk/,matched,unique_normalized_title,1025887,Elucidating sex-specific biological signatures and their drivers of brain ageing and dementia risk,Karolinska Institutet,1025887
5,5,2026-04-05,5 April 2026,Development and validation of a prediction model for colorectal cancer prognosis,"University of Hong Kong, Hong Kong",https://www.ukbiobank.ac.uk/projects/development-and-validation-of-a-prediction-model-for-colorectal-cancer-prognosis/,matched,unique_normalized_title,531599,Development and validation of a prediction model for colorectal cancer prognosis,University of Hong Kong,531599
5,6,2026-04-05,5 April 2026,"Multi-modal Determinants of Ageing Disease in Older Adults: Trajectories, Risk Factors, Multi-omics, and Prediction in UK Biobank","Shenzhen Longgang Otolaryngology Hospital, China",https://www.ukbiobank.ac.uk/projects/multi-modal-determinants-of-ageing-disease-in-older-adults-trajectories-risk-factors-multi-omics-and-prediction-in-uk-biobank/,matched,unique_normalized_title,1180983,"Multi-modal Determinants of Ageing Disease in Older Adults: Trajectories, Risk Factors, Multi-omics, and Prediction in UK Biobank",Shenzhen Longgang Otolaryngology Hospital,1180983
5,7,2026-04-05,5 April 2026,GenetiQ_ Digital Twin platform,"Prepaire Labs, United Arab Emirates",https://www.ukbiobank.ac.uk/projects/genetiq_-digital-twin-platform/,matched,unique_normalized_title,876442,GenetiQ_ Digital Twin platform,Prepaire Labs,876442
5,8,2026-04-05,5 April 2026,Analysis of genetic and environmental (lifestyle) factors associated with complex disorders to design personalized disease-wide risk scores and individualized prevention protocols.,"Barcelona Supercomputing Center, Spain",https://www.ukbiobank.ac.uk/projects/analysis-of-genetic-and-environmental-lifestyle-factors-associated-with-complex-disorders-to-design-personalized-disease-wide-risk-scores-and-individualized-prevention-protocols/,matched,unique_normalized_title,1160540,Analysis of genetic and environmental (lifestyle) factors associated with complex disorders to design personalized disease-wide risk scores and individualized prevention protocols.,Barcelona Supercomputing Center,1160540
5,9,2026-04-05,5 April 2026,"Associations of diet and lifestyle with chronic non-communicable diseases: a multi-modal analysis using genetic, biomarker, and imaging data from UK Biobank","China Medical University P.R.C, China",https://www.ukbiobank.ac.uk/projects/associations-of-diet-and-lifestyle-with-chronic-non-communicable-diseases-a-multi-modal-analysis-using-genetic-biomarker-and-imaging-data-from-uk-biobank/,matched,unique_normalized_title,1127192,"Associations of diet and lifestyle with chronic non-communicable diseases: a multi-modal analysis using genetic, biomarker, and imaging data from UK Biobank",China Medical University P.R.C,1127192
5,10,2026-04-05,5 April 2026,Associations Between Psychiatric Medication Use and the Risks of Colorectal Cancer and Pituitary Adenoma: A UK Biobank Study,"The First Affiliated Hospital, Sun Yat-sen University, China",https://www.ukbiobank.ac.uk/projects/associations-between-psychiatric-medication-use-and-the-risks-of-colorectal-cancer-and-pituitary-adenoma-a-uk-biobank-study/,matched,unique_normalized_title,1270741,Associations Between Psychiatric Medication Use and the Risks of Colorectal Cancer and Pituitary Adenoma: A UK Biobank Study,"The First Affiliated Hospital, Sun Yat-sen University",1270741
6,1,2026-04-05,5 April 2026,Utilizing Mendelian Randomization to Assess the Causal Relationship between Inflammation Biomarkers and Cardiometabolic Diseases,"Bispebjerg-Frederiksberg Hospital, University Hospital of Copenhagen, Denmark",https://www.ukbiobank.ac.uk/projects/utilizing-mendelian-randomization-to-assess-the-causal-relationship-between-inflammation-biomarkers-and-cardiometabolic-diseases/,matched,unique_normalized_title,1254904,Utilizing Mendelian Randomization to Assess the Causal Relationship between Inflammation Biomarkers and Cardiometabolic Diseases,"Bispebjerg-Frederiksberg Hospital, University Hospital of Copenhagen",1254904
6,2,2026-04-05,5 April 2026,Blood Pressure Variability and Dementia Risk,"University of Southern California, United States of America",https://www.ukbiobank.ac.uk/projects/blood-pressure-variability-and-dementia-risk/,matched,unique_normalized_title,1285920,Blood Pressure Variability and Dementia Risk,University of Southern California,1285920
6,3,2026-04-05,5 April 2026,Develop A Library of Health Risk Panels on Clinically-Relevant Traits Using the Multimodal Data From UK Biobank,"Panoromics Health Sciences, United States of America",https://www.ukbiobank.ac.uk/projects/develop-a-library-of-health-risk-panels-on-clinically-relevant-traits-using-the-multimodal-data-from-uk-biobank/,matched,unique_normalized_title,1263154,Develop A Library of Health Risk Panels on Clinically-Relevant Traits Using the Multimodal Data From UK Biobank,Panoromics Health Sciences,1263154
6,4,2026-04-05,5 April 2026,AI-Driven Risk Profiling and Optimization of Control Strategies for Early Cardiovascular-Kidney-Metabolic Syndrome in Chinese and Western Populations for Precision Prevention and Intervention,"The Hong Kong Polytechnic University, Hong Kong",https://www.ukbiobank.ac.uk/projects/ai-driven-risk-profiling-and-optimization-of-control-strategies-for-early-cardiovascular-kidney-metabolic-syndrome-in-chinese-and-western-populations-for-precision-prevention-and-intervention/,matched,unique_normalized_title,1267449,AI-Driven Risk Profiling and Optimization of Control Strategies for Early Cardiovascular-Kidney-Metabolic Syndrome in Chinese and Western Populations for Precision Prevention and Intervention,The Hong Kong Polytechnic University,1267449
6,5,2026-04-05,5 April 2026,"Determinants and Prediction of Cardiovascular Disease Using Epidemiological, Imaging, Genomic and Multi-Omics Data in the UK Biobank","University of Manchester, Great Britain",https://www.ukbiobank.ac.uk/projects/determinants-and-prediction-of-cardiovascular-disease-using-epidemiological-imaging-genomic-and-multi-omics-data-in-the-uk-biobank/,matched,unique_normalized_title,1274709,"Determinants and Prediction of Cardiovascular Disease Using Epidemiological, Imaging, Genomic and Multi-Omics Data in the UK Biobank",University of Manchester,1274709
6,6,2026-04-05,5 April 2026,"Multimodal Noninvasive Assessment of Epicardial Fat Function Heterogeneity, Molecular Mechanism Analysis, and Its Predictive Value for Adverse Cardiovascular Events","The Second Affiliated Hospital of Kunming Medical University, China",https://www.ukbiobank.ac.uk/projects/multimodal-noninvasive-assessment-of-epicardial-fat-function-heterogeneity-molecular-mechanism-analysis-and-its-predictive-value-for-adverse-cardiovascular-events/,matched,unique_normalized_title,1270098,"Multimodal Noninvasive Assessment of Epicardial Fat Function Heterogeneity, Molecular Mechanism Analysis, and Its Predictive Value for Adverse Cardiovascular Events",The Second Affiliated Hospital of Kunming Medical University,1270098
6,7,2026-04-05,5 April 2026,Multi-Omics and Clinical Integration for Chronic Disease Risk Factor Identification and Predictive Modeling,"Shanghai Jiao Tong University School of Medicine., China",https://www.ukbiobank.ac.uk/projects/multi-omics-and-clinical-integration-for-chronic-disease-risk-factor-identification-and-predictive-modeling/,matched,unique_normalized_title,1328492,Multi-Omics and Clinical Integration for Chronic Disease Risk Factor Identification and Predictive Modeling,Shanghai Jiao Tong University School of Medicine.,1328492
6,8,2026-04-05,5 April 2026,"Comprehensive profiling of genetic, multi-omics, imaging, and lifestyle determinants for the trajectory and prognosis of coronary artery disease","Chinese Academy of Medical Sciences &Peking Union Medical College, China",https://www.ukbiobank.ac.uk/projects/comprehensive-profiling-of-genetic-multi-omics-imaging-and-lifestyle-determinants-for-the-trajectory-and-prognosis-of-coronary-artery-disease/,matched,unique_normalized_title,1318956,"Comprehensive profiling of genetic, multi-omics, imaging, and lifestyle determinants for the trajectory and prognosis of coronary artery disease",Chinese Academy of Medical Sciences &Peking Union Medical College,1318956
6,9,2026-04-05,5 April 2026,"Life-course risk factors for cardiometabolic diseases: influence of early-life risk factors, risk factor trajectories and generations","Leiden University Medical Centre, Netherlands",https://www.ukbiobank.ac.uk/projects/life-course-risk-factors-for-cardiometabolic-diseases-influence-of-early-life-risk-factors-risk-factor-trajectories-and-generations/,matched,unique_normalized_title,1315294,"Life-course risk factors for cardiometabolic diseases: influence of early-life risk factors, risk factor trajectories and generations",Leiden University Medical Centre,1315294
